,name,year,size,HardMark,SSD_HDD,price
130,Mushkin Atlas Deluxe 120GB MKNSSDAT120GB-DX,20Aug,111.8,3008.0,1,239.9
131,Mushkin Atlas Deluxe 240GB MKNSSDAT240GB-DX,20Dec,223.6,3184.0,1,162.4
132,Mushkin Atlas Deluxe 60GB MKNSSDAT60GB-DX,20Sep,55.9,2287.0,1,108.2
133,Mushkin Callisto Deluxe 120GB MKNSSDCL120GB-DX,20Aug,111.8,1843.0,1,258.5
134,Mushkin Callisto Deluxe 240GB MKNSSDCL240GB-DX,20Aug,223.6,1990.0,1,86.8
135,Mushkin Callisto Deluxe 40GB MKNSSDCL40GB-DX,20Oct,37.2,1206.0,1,179.9
136,Mushkin Callisto Deluxe 60GB MKNSSDCL60GB-DX,20Jul,55.9,1486.0,1,159.0
137,Mushkin Chronos 120GB MKNSSDCR120GB,20Aug,111.8,2166.0,1,256.5
138,Mushkin Chronos 180GB MKNSSDCR180GB,20Oct,167.7,2741.0,1,114.9
139,Mushkin Chronos 240GB MKNSSDCR240GB,20Oct,223.5,2469.0,1,145.9
140,Mushkin Chronos 480GB MKNSSDCR480GB,20Dec,447.1,2653.0,1,151.9
141,Mushkin Chronos 90GB MKNSSDCR90GB,20Dec,83.8,2090.0,1,99.9
142,Mushkin Chronos Deluxe 120GB MKNSSDCR120GB-DX,20Aug,111.8,3476.0,1,139.9
143,Mushkin Chronos Deluxe 240GB MKNSSDCR240GB-DX,20Aug,223.6,3521.0,1,174.9
144,Mushkin Chronos Deluxe 60GB MKNSSDCR60GB-DX,20Nov,55.9,2577.0,1,69.9
145,Mushkin Pilot 500GB PCIe NVMe,20Jun,465.8,15342.0,1,85.9
146,Mushkin Reactor 1TB MKNSSDRE1TB,20Feb,931.5,4248.0,1,159.9
147,Mushkin Reactor 512GB MKNSSDRE512GB,20Jul,476.9,3846.0,1,279.9
148,Mushkin Reactor LT 250GB MKNSSDRE250GB-LT,20Mar,232.9,3190.0,1,49.9
149,Mushkin Scorpion Deluxe PCIe SSD 480GB,20Oct,443.3,10412.0,1,1016.7
150,Mushkin Scorpion PCIe SSD,20Jul,447.0,5437.0,1,377.9
151,Mushkin Source 250GB MKNSSDSR250GB,20Jul,232.9,2818.0,1,41.9
152,Mushkin Source 500GB MKNSSDSR500GB,20Apr,465.8,3130.0,1,62.9
153,Mushkin Triactor 120GB MKNSSDTR120GB,20Jul,111.8,2675.0,1,45.9
154,Mushkin Triactor 250GB MKNSSDTR250GB,20Nov,232.9,3883.0,1,79.9
155,Mushkin Triactor 3D 1TB MKNSSDTR1TB-3D,20Oct,953.9,3817.0,1,357.7
156,Mushkin Triactor 3DL 128GB MKNSSDTR128GB-3DL,20Oct,119.2,2322.0,1,39.9
157,Mushkin Triactor 480GB MKNSSDTR480GB,20Apr,447.1,4125.0,1,89.9
158,MyDigitalSSD BP4,20Dec,111.8,3248.0,1,64.9
159,MZMPC032HBCD-00000,20Oct,29.8,1720.0,1,21.0
160,MZMPC032HBCD-000H1,20Apr,29.8,1820.0,1,23.8
161,MZMPC128HBFU-00000,20Jun,119.2,3051.0,1,169.9
162,Netac N5M-120GB,20Feb,118.0,3476.0,1,65.9
163,NVMe INTEL SSDPEKNW02,20Mar,1.9,13125.0,1,276.99
164,NVMe KINGSTON SKC1000,20Aug,447.1,10035.0,1,1235.9
165,OCZ 240GB SSD D2CSTK251A20-0240,20Aug,223.6,2472.0,1,400.8
166,OCZ AGILITY 2 60GB,20May,55.9,1448.0,1,88.6
167,OCZ AGILITY 3 120GB,20May,111.8,2340.0,1,29.99
168,OCZ AGILITY 4 256GB,20Jun,238.5,2050.0,1,212.1
169,OCZ AGILITY 64GB,20Sep,59.6,987.0,1,109.9
170,OCZ Deneva 2 480GB D2CSTK251M11-0480,20Oct,447.1,3808.0,1,999.9
171,OCZ INTREPID 3700,20May,223.6,1973.0,1,449.9
172,OCZ RevoDrive 3,20Aug,111.8,3452.0,1,99.8
173,OCZ RevoDrive 3 X2,20Aug,447.2,7784.0,1,519.9
174,OCZ RevoDrive 3 X2 Max IOPS,20Oct,447.2,9496.0,1,951.9
175,OCZ RevoDrive 350 PCI-E,20Jun,447.2,9299.0,1,553.3
176,OCZ SOLID SSD,20Dec,59.7,638.0,1,92.6
177,OCZ SOLID SSD 32GB,20Feb,29.8,572.0,1,92.6
178,OCZ Vector 150,20Dec,111.8,3479.0,1,227.9
179,OCZ Vector Series,20Dec,238.5,4038.0,1,449.8
180,OCZ Vertex 3 60GB,20Apr,55.9,2368.0,1,169.9
181,OCZ Vertex 3 Max IOPS 120GB,20May,111.8,3980.0,1,119.9
182,OCZ Vertex 4 128GB,20Aug,119.2,3842.0,1,99.9
183,OCZ Vertex 4 256GB,20Apr,238.5,4022.0,1,198.0
184,OCZ Vertex 64GB,20Jun,59.6,904.0,1,100.9
185,OCZ Vertex Plus,20Aug,55.9,851.0,1,59.9
186,OCZ Vertex Plus R2 60GB,20Jul,57.6,709.0,1,48.5
187,OCZ VERTEX-LE,20Mar,93.1,1838.0,1,668.9
188,OCZ-COLOSSUS,20Dec,119.2,1311.0,1,995.0
189,OCZ-NOCTI,20Nov,110.6,1315.0,1,69.9
190,OCZ-OCTANE,20Dec,238.5,1828.0,1,287.5
