,name,size,latency,readRate,writeRate,Price,RAMmark
246,Crucial Technology BLE8G3D21BCE1.16FN 8GB,8,22.0,16.9,11.6,67.9,944.2620055426182
247,Crucial Technology BLE8G3D1869DE1TX0. 8GB,8,33.33333333,15.7,10.2,54.9,624.710457191814
248,Crucial Technology BLS2G3D1609DS1S00. 2GB,2,23.0,13.8,8.8,23.9,902.1538210816
249,Crucial Technology BLS4G3D18ADS3.16FE 4GB,4,31.33333333,16.1,10.4,41.7,664.3550572290999
250,Crucial Technology BLS4G3D169DS3.16FE 4GB,4,39.33333333,12.9,8.7,69.3,529.3619145465452
251,Crucial Technology BLS4G3D169DS3.16FK 4GB,4,24.0,14.7,10.0,48.9,865.2590391824832
252,Crucial Technology BLS4G3D1339DS1S00. 4GB,4,26.0,13.3,8.1,89.9,798.3355194492539
253,Crucial Technology BLS4G3D1609DS1S00 4GB,4,62.0,7.6,4.2,80.0,335.35944382158704
254,Crucial Technology BLS4G3D1609DS1S00. 4GB,4,36.68292683,15.4,9.9,34.9,568.0394438357865
255,Crucial Technology BLS4G3D1609ES2LX0. 4GB,4,33.33333333,15.0,9.9,38.9,624.5057372719139
256,Crucial Technology BLS4G3N18AES4.16FE 4GB,4,24.0,13.3,10.4,38.4,865.1316537176833
257,Crucial Technology BLS4G3N169ES4.16FE 4GB,4,26.0,13.5,9.2,90.6,798.6800945781539
258,Crucial Technology BLS4G3N169ES4.16FK 4GB,4,25.0,14.3,9.7,44.9,830.7091394500999
259,Crucial Technology BLS8G3D18ADS3.16FE 8GB,8,32.25,16.5,11.1,78.2,645.8995434368177
260,Crucial Technology BLS8G3D169DS3.16FE 8GB,8,33.0,14.8,9.4,89.9,630.5843315764788
261,Crucial Technology BLS8G3D1339DS1S00. 8GB,8,37.0,13.6,8.2,84.9,562.4298460996595
262,Crucial Technology BLS8G3D1609DS1S00. 8GB,8,37.75925926,14.4,9.3,79.9,551.6615133626782
263,Crucial Technology BLS8G3D1609ES2LX0. 8GB,8,36.55555556,14.2,8.9,132.6,569.5117930665425
264,Crucial Technology BLS8G3N18AES4.16FE 8GB,8,35.0,14.2,10.1,84.9,594.9420415733284
265,Crucial Technology BLS8G3N169ES4.16FE 8GB,8,29.0,12.6,8.9,83.9,716.3270341207
266,Crucial Technology BLT2G3D1608DT1TX0 2GB,2,23.0,13.6,9.4,7.9,902.2887383901999
267,Crucial Technology BLT2G3D1608DT1TX0. 2GB,2,27.0,13.5,7.6,9.9,768.8299590421851
268,Crucial Technology BLT2G3D1608DT2TXOB 2GB,2,24.0,14.7,8.6,36.9,864.8641630574832
269,Crucial Technology BLT2G3D1608DT2TXRG 2GB,2,26.0,14.6,8.2,9.9,798.5867744433539
270,Crucial Technology BLT2G3D1869DT1TX0. 2GB,2,21.0,17.7,10.3,8.9,988.7035737662809
271,Crucial Technology BLT4G3D1337DT1TX0. 4GB,4,25.0,14.2,8.4,65.9,830.3253111043999
272,Crucial Technology BLT4G3D1608DT1TX0. 4GB,4,35.66666667,14.7,9.6,92.3,583.8651782316957
273,Crucial Technology BLT4G3D1608DT2TXOB 4GB,4,33.33333333,14.6,9.4,33.9,624.296079451614
274,Crucial Technology BLT4G3D1608DT2TXRG 4GB,4,25.0,14.7,9.3,39.9,830.6649483328999
275,Crucial Technology BLT4G3D1608ET3LX0. 4GB,4,35.28571429,15.2,10.0,22.9,590.3108628093696
276,Crucial Technology BLT4G3D1869DT1TX0. 4GB,4,32.0,15.2,10.6,44.1,650.5349801792124
277,Crucial Technology BLT4G3D1869DT2TXOB 4GB,4,22.0,16.1,10.8,22.9,943.8991007770181
278,Crucial Technology BLT4G3D1869DT2TXRG 4GB,4,23.0,16.0,10.4,33.9,902.982576562
279,Crucial Technology BLT8G3D1608DT1TX0. 8GB,8,38.5,14.9,9.0,79.8,541.1467121935533
280,Crucial Technology BLT8G3D1608DT2TXOB 8GB,8,25.0,14.4,9.1,77.1,830.5570644833
281,Crucial Technology BLT8G3D1608DT2TXRG 8GB,8,34.33333333,14.6,9.2,55.9,606.2064719662395
282,Crucial Technology BLT8G3D1608ET3LX0. 8GB,8,33.0,16.4,10.1,36.9,631.0562921701787
283,Crucial Technology BLT8G3D1869DT1TX0. 8GB,8,30.0,15.4,10.6,54.9,693.5651114794666
284,Crucial Technology CT4G3S1067M.C16FKR 4GB,4,30.0,10.1,6.6,24.9,691.5275380948666
