AMD Ryzen 3 PRO 1300,AMD Ryzen PRO Processors,AMD Ryzen 3 PRO Desktop Processors,Desktop,6/29/2017,4,4,,,3.5GHz,3.7GHz,,384KB,2MB,8MB,No,14nm,AM4,,PCIe 3.0 x16,,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 3 PRO 1300,NA,0,7825,NA,2222,NA,65,120.38,17-Sep,AM4,Desktop,17-Sep,9/1/2017
AMD Ryzen 5 PRO 1600,AMD Ryzen PRO Processors,AMD Ryzen 5 PRO Desktop Processors,Desktop,6/29/2017,6,12,,,3.2GHz,3.6GHz,,576KB,3MB,16MB,No,14nm,AM4,,PCIe 3.0 x16,,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 5 PRO 1600,NA,0,10758,NA,1728,NA,65,165.51,17-Sep,AM4,Desktop,17-Sep,9/1/2017
AMD Ryzen 7 PRO 1700,AMD Ryzen PRO Processors,AMD Ryzen 7 PRO Desktop Processors,Desktop,6/29/2017,8,16,,,3GHz,3.7GHz,,768KB,4MB,16MB,No,14nm,AM4,,PCIe 3.0 x16,,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 7 PRO 1700,NA,0,14023,NA,2016,NA,65,215.74,17-Sep,AM4,Desktop,17-Sep,9/1/2017
AMD EPYC 7351P,AMD EPYC,AMD EPYC 7001 Series,Server,,16,32,,,2.4GHz,2.9GHz,2.9GHz,,,64MB,,,SP3,1P,PCIe 3.0 x128,,155/170W,,,2400MHz/2666MHz,DDR4,8,153.60 GB/s/170.60 GB/s,,,,,,,,,AMD EPYC 7351P,"1,498.00",149,15792,10.54,1691,1.13,155,101.88,17-Nov,SP3,Server,17-Nov,11/1/2017
AMD EPYC 7401P,AMD EPYC,AMD EPYC 7001 Series,Server,,24,48,,,2GHz,3GHz,2.8GHz,,,64MB,,,SP3,1P,PCIe 3.0 x128,,155/170W,,,2400MHz/2666MHz,DDR4,8,153.60 GB/s/170.60 GB/s,,,,,,,,,AMD EPYC 7401P,980,98,21450,21.89,1645,1.68,155,138.39,17-Nov,SP3,Server,17-Nov,11/1/2017
AMD Ryzen 5 2500U,AMD Ryzen Processors,AMD Ryzen 5 Mobile Processors with Radeon™ Vega Graphics,Laptop,10/26/2017,4,8,8,,2GHz,3.6GHz,,384KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1100 MHz,,Radeon™ Vega 8 Graphics,8,Yes,Yes,,,AMD Ryzen 5 2500U,NA,0,6587,NA,1829,NA,15,439.15,17-Nov,FP5,Laptop,17-Nov,11/1/2017
AMD EPYC 7501,AMD EPYC,AMD EPYC 7001 Series,Server,,32,64,,,2GHz,3GHz,2.6GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,155/170W,,,2400MHz/2666MHz,DDR4,8,153.60 GB/s/170.60 GB/s,,,,,,,,,AMD EPYC 7501,"3,353.80",3353,20094,5.99,1735,0.52,155,129.64,17-Dec,SP3,Server,17-Dec,12/1/2017
AMD Ryzen 3 2200U,AMD Ryzen Processors,AMD Ryzen 3 Mobile Processors with Radeon™ Vega Graphics,Laptop,1/8/2018,2,4,3,,2.5GHz,3.4GHz,,384KB,1MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1100 MHz,,Radeon™ Vega 3 Graphics,3,Yes,Yes,,,AMD Ryzen 3 2200U,NA,0,3615,NA,1668,NA,15,241.03,17-Dec,FP5,Laptop,17-Dec,12/1/2017
AMD Ryzen 7 2700U,AMD Ryzen Processors,AMD Ryzen 7 Mobile Processors with Radeon™ RX Vega Graphics,Laptop,10/26/2017,4,8,10,,2.2GHz,3.8GHz,,384KB,2MB,4MB,No,14nm,FP5,,PCIe 3.0,n/a,15W,12-25W,95°C,2400MHz,,2,,1300 MHz,,Radeon™ RX Vega 10 Graphics,10,Yes,Yes,,,AMD Ryzen 7 2700U,NA,0,6209,NA,1444,NA,15,413.91,17-Dec,FP5,Laptop,17-Dec,12/1/2017
AMD EPYC 7451,AMD EPYC,AMD EPYC 7001 Series,Server,,24,48,,,2.3GHz,3.2GHz,2.9GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,180W,,,2666MHz,DDR4,8,170.60 GB/s,,,,,,,,,AMD EPYC 7451,"2,400.00",240,16718,6.97,1873,0.78,180,92.88,18-Jan,SP3,Server,18-Jan,1/1/2018
AMD EPYC 7251,AMD EPYC,AMD EPYC 7001 Series,Server,,8,16,,,2.1GHz,2.9GHz,2.9GHz,,,32MB,,,SP3,1P/2P,PCIe 3.0 x128,,120W,,,2400MHz,DDR4,8,153.60 GB/s,,,,,,,,,AMD EPYC 7251,401.36,401.3,12529,31.22,1448,3.61,120,104.41,18-Feb,SP3,Server,18-Feb,2/1/2018
