Legacy Intel® Core™ Processors,Desktop,i7-870S,End of Interactive Support,Q2'10,45 nm,N/A,4,8,2.66 GHz,3.60 GHz,8 MB SmartCache,2.5 GT/s DMI,82 W,No,,16 GB,DDR3 1066/1333,2,21 GB/s,No,,,,,,,,,,,,2,"1x16, 2x8",16,,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes,Intel Core i7-940 @ 2.93GHz,$103.99*,$103.99 ,3024,29.08,1357,13.05,130,23.26,8-Dec,LGA1366,Desktop,8-Dec,12/1/2008
Legacy Intel® Core™ Processors,Mobile,X7900,End of Interactive Support,Q3'07,65 nm,N/A,2,,2.80 GHz,,4 MB L2,800 MHz FSB,44 W,No,,,,,,,,,,,,,,,,,,,,,100°C,No,Yes,Yes,64-bit,,No,,,Yes,Intel Core i7-940XM @ 2.13GHz,NA,0,2165,NA,1119,NA,55,39.36,10-Jul,PGA988,Laptop,10-Jul,7/1/2010
Legacy Intel® Core™ Processors,Desktop,i7-875K,End of Interactive Support,Q2'10,45 nm,$353.00 ,4,8,2.93 GHz,3.60 GHz,8 MB SmartCache,2.5 GT/s DMI,95 W,No,,16 GB,DDR3 1066/1333,2,21 GB/s,No,,,,,,,,,,,,2,"1x16, 2x8",16,72.7°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes,Intel Core i7-950 @ 3.07GHz,49,4,3017,61.58,1382,28.19,130,23.21,9-Jun,LGA1366,Desktop,9-Jun,6/1/2009
Legacy Intel® Core™ Processors,Desktop,i7-880,End of Interactive Support,Q2'10,45 nm,N/A,4,8,3.06 GHz,3.73 GHz,8 MB SmartCache,2.5 GT/s DMI,95 W,No,,16 GB,DDR3 1066/1333,2,21 GB/s,No,,,,,,,,,,,,2,"1x16, 2x8",16,72.7°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes,Intel Core i7-960 @ 3.20GHz,270,27,3219,11.92,1463,5.42,130,24.76,9-Oct,LGA1366,Desktop,9-Oct,10/1/2009
Legacy Intel® Core™ Processors,Mobile,X9000,End of Interactive Support,Q1'08,45 nm,N/A,2,,2.80 GHz,,6 MB L2,800 MHz FSB,44 W,No,,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64-bit,,,,,Yes,Intel Core i7-965 @ 3.20GHz,$139.99*,$139.99 ,3340,23.86,1485,10.61,130,25.69,8-Nov,LGA1366,Desktop,8-Nov,11/1/2008
Legacy Intel® Core™ Processors,Desktop,i7-930,End of Interactive Support,Q1'10,45 nm,$305.00 ,4,8,2.80 GHz,3.06 GHz,8 MB SmartCache,4.8 GT/s QPI,130 W,No,,24 GB,DDR3 800/1066 ,3,25.6 GB/s,No,,,,,,,,,,,,,,,67.9°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes,Intel Core i7-970 @ 3.20GHz,$499.95*,$499.95 ,6724,13.45,1483,2.97,130,51.72,10-Jul,LGA1366,Desktop,10-Jul,7/1/2010
Legacy Intel® Core™ Processors,Mobile,X9100,End of Interactive Support,Q3'08,45 nm,N/A,2,,3.06 GHz,,6 MB L2,1066 MHz FSB,44 W,No,,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64-bit,,No,,,Yes,Intel Core i7-975 @ 3.33GHz,$79.95*,$79.95 ,3198,40,1525,19.07,130,24.6,9-Jun,LGA1366,Desktop,9-Jun,6/1/2009
Legacy Intel® Core™ Processors,Desktop,i7-940,End of Interactive Support,Q4'08,45 nm,$555.00 ,4,8,2.93 GHz,3.20 GHz,8 MB SmartCache,4.8 GT/s QPI,130 W,No,,24 GB,DDR3 800/1066 ,3,25.6 GB/s,No,,,,,,,,,,,,,,,67.9°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes,Intel Core i7-980 @ 3.33GHz,$199.98*,$199.98 ,6888,34.44,1531,7.66,130,52.99,11-Jul,LGA1366,Desktop,11-Jul,7/1/2011
Legacy Intel® Core™ Processors,Mobile,i7-920XM,End of Interactive Support,Q3'09,45 nm,N/A,4,8,2.00 GHz,3.20 GHz,8 MB SmartCache,2.5 GT/s DMI,55 W,No,,8 GB,DDR3 1066/1333,2,21 GB/s,No,,,,,,,,,,,,2,"1x16, 2x8",16,100°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,Yes,,Yes,Intel Core i7-980X @ 3.33GHz,"$1,099.95*","$1,099.95 ",6554,5.96,1535,1.4,130,50.41,10-Mar,LGA1366,Desktop,10-Mar,3/1/2010
Legacy Intel® Core™ Processors,Mobile,i7-940XM,End of Interactive Support,Q3'10,45 nm,N/A,4,8,2.13 GHz,3.33 GHz,8 MB SmartCache,2.5 GT/s DMI,55 W,No,,8 GB,DDR3 1066/1333,2,21 GB/s,No,,,,,,,,,,,,2,"1x16, 2x8",16,100°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,Yes,,Yes,Intel Core i7-990X @ 3.47GHz,307,30,7284,23.73,1596,5.2,130,56.03,11-Jan,LGA1366,Desktop,11-Jan,1/1/2011
Intel® Core™ X-series Processors,Desktop,i9-7900X,Launched,Q2'17,14 nm,$989.00 - $999.00,10,20,3.30 GHz,4.30 GHz,13.75 MB L3,8 GT/s DMI3,140 W,No,Yes,128 GB,DDR4-2666,4,,No,,,,,,,,,,,,3,,44,95°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0, AVX-512",,,,Yes,Intel Core i9-7900X @ 3.30GHz,"$1,299.00*","$1,299.00 ",21335,16.42,2538,1.95,140,152.4,17-Jun,FCLGA2066,Desktop,17-Jun,6/1/2017
Intel® Core™ X-series Processors,Desktop,i9-7920X,Launched,Q3'17,14 nm,$1189.00 - $1199.00,12,24,2.90 GHz,4.30 GHz,16.5 MB L3,8 GT/s DMI,140 W,No,Yes,128 GB,DDR4-2666,4,,No,,,,,,,,,,,,3,,44,95°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0, AVX-512",,,,Yes,Intel Core i9-7920X @ 2.90GHz,599,59,23398,39.06,2519,4.21,140,167.13,17-Sep,FCLGA2066,Desktop,17-Sep,9/1/2017
Intel® Core™ X-series Processors,Desktop,i9-7940X,Announced,Q3'17,,N/A,14,28,3.10 GHz,4.30 GHz,19.25 MB,8 GT/s DMI3,165 W,No,Yes,128 GB,DDR4-2666,4,,No,,,,,,,,,,,,3,,44,102°C,Yes,Yes,Yes,,"SSE4.1/4.2, AVX 2.0, AVX-512",,,,Yes,Intel Core i9-7940X @ 3.10GHz,899.99,899.9,26380,29.31,2485,2.76,165,159.88,17-Sep,FCLGA2066,Desktop,17-Sep,9/1/2017
Intel® Core™ X-series Processors,Desktop,i9-7960X,Announced,Q3'17,,N/A,16,32,2.80 GHz,4.20 GHz,22 MB,8 GT/s DMI3,165 W,No,Yes,128 GB,DDR4-2666,4,,No,,,,,,,,,,,,3,,44,98°C,Yes,Yes,Yes,,"SSE4.1/4.2, AVX 2.0, AVX-512",,,,Yes,Intel Core i9-7960X @ 2.80GHz,"$1,600.00*","$1,600.00 ",26978,16.86,2529,1.58,165,163.5,17-Oct,FCLGA2066,Desktop,17-Oct,10/1/2017
Intel® Core™ X-series Processors,Desktop,i9-7980XE,Announced,Q3'17,,N/A,18,36,2.60 GHz,4.20 GHz,24.75 MB,8 GT/s DMI3,165 W,No,Yes,128 GB,DDR4-2666,4,,No,,,,,,,,,,,,3,,44,94°C,Yes,Yes,Yes,,"SSE4.1/4.2, AVX 2.0, AVX-512",,,,Yes,Intel Core i9-7980XE @ 2.60GHz,"1,699.00",169,29848,17.57,2605,1.53,165,180.9,17-Sep,FCLGA2066,Desktop,17-Sep,9/1/2017
4th Generation Intel® Core™ i7 Processors,Mobile,i7-4578U,Launched,Q3'14,22 nm,$426.00 ,2,4,3.00 GHz,3.50 GHz,4 MB,5 GT/s DMI2,28 W,No,Yes,16 GB,"DDR3L-1333, 1600;,Intel Core M-5Y10 @ 0.80GHz,NA,0,1924,NA,1050,NA,4.5,427.54,14-Aug,Unknown,Laptop,14-Aug,8/1/2014
LPDDR3-1333, 1600",2,25.6 GB/s,No,,200 MHz,1.20 GHz,2 GB,eDP/DP/HDMI/VGA ,,3200x2000@60Hz,3200x2000@60Hz,,11.2/12,,2,"4x1, 2x4",12,100 C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core M-5Y10a @ 0.80GHz,NA,0,1840,NA,963,NA,4.5,408.78,15-Mar,FCBGA1234,Laptop,15-Mar,3/1/2015
5th Generation Intel® Core™ i3 Processors,Mobile,i3-5020U,Launched,Q1'15,14 nm,$281.00 ,2,4,2.20 GHz,,3 MB,5 GT/s DMI2,15 W,No,Yes,16 GB,DDR3L 1333/1600  LPDDR 1333 /1600,2,25.6 GB/s,,,300 MHz,900 MHz,16 GB,eDP/DP/HDMI,,2560x1600@60Hz,3840x2160@60Hz,,11.2/12,,2,4x1 2x4,12,105°C,Yes,Yes,Yes,64-bit,SSE 4.1/4.2 AVX 2.0,Yes,Yes,Yes,Yes,Intel Core M-5Y10c @ 0.80GHz,$281.00*,$281.00 ,1828,6.51,1007,3.58,4.5,406.26,15-Jan,FCBGA1234,Laptop,15-Jan,1/1/2015
5th Generation Intel® Core™ i3 Processors,Mobile,i3-5157U,Launched,Q1'15,14 nm,$315.00 ,2,4,2.50 GHz,,3 MB,5 GT/s DMI2,28 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1600/1866",2,25.6 GB/s,,,300 MHz,1.00 GHz,16 GB,eDP/DP/HDMI,,2560x1600@60Hz,3840x2160@60Hz,,11.2/12,,2,"4x1, 2x4",12,105°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core M-5Y31 @ 0.90GHz,NA,0,1972,NA,1199,NA,4.5,438.27,15-Apr,FCBGA1234,Laptop,15-Apr,4/1/2015
5th Generation Intel® Core™ M Processors,Mobile,5Y10c,Launched,Q4'14,14 nm,$281.00 ,2,4,800 MHz,2.00 GHz,4 MB,,4.5 W,No,Yes,16 GB,LPDDR3 1333/1600; DDR3L/DDR3L-RS 1600,2,25.6 GB/s,No,,300 MHz,800 MHz,16 GB,eDP/DP/HDMI,,2560x1600@60Hz,2560x1600@60Hz,,11.2/12,,2,"x1 (6), x2 (4), x4 (3)",12,95 C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core M-5Y51 @ 1.10GHz,NA,0,1532,NA,994,NA,4.5,340.41,15-Apr,FCBGA1234,Laptop,15-Apr,4/1/2015
5th Generation Intel® Core™ M Processors,Mobile,5Y31,Launched,Q4'14,14 nm,$281.00 ,2,4,900 MHz,2.40 GHz,4 MB,,4.5 W,No,Yes,16 GB,LPDDR3 1333/1600; DDR3L/DDR3L-RS 1600,2,25.6 GB/s,No,,300 MHz,850 MHz,16 GB,eDP/DP/HDMI,,2560x1600@60Hz,2560x1600@60Hz,,11.2/12,,2,"x1 (6), x2 (4), x4 (3)",12,95 C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core M-5Y70 @ 1.10GHz,NA,0,1646,NA,1008,NA,4.5,365.79,14-Oct,BGA1234,Laptop,14-Oct,10/1/2014
5th Generation Intel® Core™ M Processors,Mobile,5Y51,Launched,Q4'14,14 nm,$281.00 ,2,4,1.10 GHz,2.60 GHz,4 MB,,4.5 W,No,Yes,16 GB,LPDDR3 1333/1600; DDR3L/DDR3L-RS 1600,2,25.6 GB/s,No,,300 MHz,900 MHz,16 GB,eDP/DP/HDMI,,2560x1600@60Hz,2560x1600@60Hz,,11.2/12,,2,"x1 (6), x2 (4), x4 (3)",12,95 C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core M-5Y71 @ 1.20GHz,$281.00*,$281.00 ,2002,7.13,1260,4.48,4.5,444.92,15-Jan,FCBGA1234,Laptop,15-Jan,1/1/2015
Intel® Xeon® Processor E7 Family,Server,E7-8850,End of Life,Q2'11,32 nm,"$3,059.00 ",10,20,2.00 GHz,2.40 GHz,24 MB SmartCache,6.4 GT/s QPI,130 W,No,,4.1 TB,DDR3 800/978/1066/1333 (Max Speed 1066 MHz),4,,Yes,,,,,,,,,,,,,,,69°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,,Yes,,Yes,Intel Core m3-6Y30 @ 0.90GHz,$281.00*,$281.00 ,1796,6.39,1027,3.66,4.5,399.09,15-Oct,FCBGA1515,Laptop,15-Oct,10/1/2015
5th Generation Intel® Core™ i7 Processors,Mobile,i7-5600U,Launched,Q1'15,14 nm,$393.00 ,2,4,2.60 GHz,3.20 GHz,4 MB,5 GT/s DMI2,15 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,,,300 MHz,950 MHz,16 GB,eDP/DP/HDMI,,2560x1600@60Hz,3840x2160@60Hz,,11.2/12,,2,"4x1, 2x4",12,105°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core m3-7Y30 @ 1.00GHz,NA,0,2691,NA,1422,NA,4.5,597.89,16-Oct,FCBGA1515,Laptop,16-Oct,10/1/2016
7th Generation Intel® Core™ m Processors,Mobile,M3-7Y30,Launched,Q3'16,14 nm,$281.00 ,2,4,1.00 GHz,2.60 GHz,4 MB SmartCache,4 GT/s OPI,4.5 W,No,Yes,16 GB,"LPDDR3-1866, DDR3L-1600",2,29.8 GB/s,No,,300 MHz,900 MHz,16 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",10,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core m3-7Y32 @ 1.10GHz,NA,0,2578,NA,1468,NA,4.5,572.89,17-Jul,FCBGA1515,Laptop,17-Jul,7/1/2017
6th Generation Intel® Core™ i5 Processors,Desktop,i5-6685R,End of Life,Q2'16,14 nm,N/A,4,4,3.20 GHz,3.80 GHz,6 MB,8 GT/s DMI3,65 W,No,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,No,,350 MHz,1.15 GHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x16,2x8,1x8+2x4",16,71°C,No,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core m5-6Y54 @ 1.10GHz,NA,0,2634,NA,1471,NA,7,376.25,15-Dec,FCBGA1515,Laptop,15-Dec,12/1/2015
6th Generation Intel® Core™ i5 Processors,Desktop,i5-6600,Launched,Q3'15,14 nm,$213.00 - $224.00,4,4,3.30 GHz,3.90 GHz,6 MB SmartCache,8 GT/s DMI3,65 W,No,Yes,64 GB,"DDR4-1866/2133, DDR3L-1333/1600 @ 1.35V",2,34.1 GB/s,No,,350 MHz,1.15 GHz,64 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"Up to 1x16, 2x8, 1x8+2x4",16,71°C,No,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core m5-6Y57 @ 1.10GHz,NA,0,2470,NA,1418,NA,7,352.83,15-Dec,FCBGA1515,Laptop,15-Dec,12/1/2015
6th Generation Intel® Core™ i3 Processors,Mobile,i3-6006U,Launched,Q4'16,14 nm,$281.00 ,2,4,2.00 GHz,,3 MB SmartCache,4 GT/s OPI,15 W,No,Yes,32 GB,"DDR4-2133, LPDDR3-1866, DDR3L-1600",2,34.1 GB/s,No,,300 MHz,900 MHz,32 GB,eDP/DP/HDMI/DVI,,4096x2304@24Hz,4096x2304@60Hz,4096x2304@60Hz,12,,3,"1x4, 2x2, 1x2+2x1 and 4x1",12,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core m7-6Y75 @ 1.20GHz,NA,0,2179,NA,1303,NA,7,311.29,15-Nov,FCBGA1515,Laptop,15-Nov,11/1/2015
4th Generation Intel® Core™ i5 Processors,Desktop,i5-4670S,End of Life,Q2'13,22 nm,$213.00 ,4,4,3.10 GHz,3.80 GHz,6 MB SmartCache,5 GT/s DMI2,65 W,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,No,,350 MHz,1.20 GHz,2 GB,eDP/DP/HDMI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.2/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,71.35°C,No,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core Solo T1300 @ 1.66GHz,NA,0,210,NA,518,NA,27,7.78,9-Feb,PGA478,Laptop,9-Feb,2/1/2009
4th Generation Intel® Core™ i5 Processors,Desktop,i5-4670K,End of Life,Q2'13,22 nm,$242.00 - $243.00,4,4,3.40 GHz,3.80 GHz,6 MB SmartCache,5 GT/s DMI2,84 W,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,No,,350 MHz,1.20 GHz,2 GB,eDP/DP/HDMI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.2/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72.72°C ,No,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core Solo T1350 @ 1.86GHz,NA,0,194,NA,413,NA,31,6.26,9-Feb,Unknown,Laptop,9-Feb,2/1/2009
Legacy Intel® Core™ Processors,Mobile,SU3500,End of Interactive Support,Q2'09,45 nm,N/A,1,,1.30 GHz,,3 MB,800 MHz FSB,5.5 W,No,,,,,,,,,,,,,,,,,,,,,100°C,No,Yes,Yes,64-bit,,,,,Yes,Intel Core Solo T1400 @ 1.83GHz,NA,0,253,NA,525,NA,27,9.37,9-Jun,PGA478,Laptop,9-Jun,6/1/2009
Legacy Intel® Core™ Processors,Mobile,T1250,End of Interactive Support,,65 nm,N/A,1,,1.73 GHz,,2 MB L2,533 MHz FSB,31 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes,Intel Core Solo U1300 @ 1.06GHz,NA,0,141,NA,349,NA,6,23.52,9-Aug,PBGA479,Laptop,9-Aug,8/1/2009
Legacy Intel® Core™ Processors,Mobile,T1300,End of Interactive Support,,65 nm,N/A,1,,1.66 GHz,,2 MB L2,667 MHz FSB,27 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes,Intel Core Solo U1400 @ 1.20GHz,NA,0,263,NA,416,NA,5.5,47.86,9-Mar,PBGA479,Laptop,9-Mar,3/1/2009
Legacy Intel® Core™ Processors,Mobile,T1350,End of Interactive Support,,65 nm,N/A,1,,1.86 GHz,,2 MB L2,533 MHz FSB,31 W,No,,,,,,No,,,,,,,,,,,,,,,100°C,No,No,No,32-bit,,No,,,Yes,Intel Core Solo U1500 @ 1.33GHz,NA,0,331,NA,427,NA,5.5,60.17,9-Mar,Unknown,Laptop,9-Mar,3/1/2009
Legacy Intel® Core™ Processors,Mobile,L7300,End of Interactive Support,Q2'07,65 nm,N/A,2,,1.40 GHz,,4 MB L2,800 MHz FSB,17 W,No,,,,,,,,,,,,,,,,,,,,,100°C,No,Yes,Yes,64-bit,,Yes,,,Yes,Intel Core2 Duo E4300 @ 1.80GHz,$159.95*,$159.95 ,500,3.13,649,4.06,65,7.69,9-Oct,LGA775,Desktop,9-Oct,10/1/2009
Legacy Intel® Core™ Processors,Mobile,L7500,End of Interactive Support,Q3'06,65 nm,N/A,2,,1.60 GHz,,4 MB L2,800 MHz FSB,17 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,No,Yes,Yes,64-bit,,Yes,,,Yes,Intel Core2 Duo E4400 @ 2.00GHz,$49.99*,$49.99 ,616,12.32,777,15.54,65,9.47,8-Dec,LGA775,Desktop,8-Dec,12/1/2008
Legacy Intel® Core™ Processors,Mobile,L7700,End of Interactive Support,Q3'07,65 nm,N/A,2,,1.80 GHz,,4 MB L2,800 MHz FSB,17 W,No,,,,,,,,,,,,,,,,,,,,,100°C,No,Yes,Yes,64-bit,,,,,Yes,Intel Core2 Duo E4500 @ 2.20GHz,$71.25*,$71.25 ,629,8.83,768,10.78,65,9.68,8-Dec,LGA775,Desktop,8-Dec,12/1/2008
Legacy Intel® Core™ Processors,Desktop,E4300,End of Interactive Support,Q3'06,65 nm,N/A,2,,1.80 GHz,,2 MB L2,800 MHz FSB,65 W,Yes,,,,,,,,,,,,,,,,,,,,,61.4°C,No,No,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E4600 @ 2.40GHz,$157.95*,$157.95 ,684,4.33,866,5.48,65,10.52,8-Dec,LGA775,Desktop,8-Dec,12/1/2008
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4330,Launched,Q3'13,22 nm,$138.00 - $147.00,2,4,3.50 GHz,,4 MB SmartCache,5 GT/s DMI2,54 W,Yes,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.8°C ,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,,Yes,Intel Core2 Duo E4700 @ 2.60GHz,$26.99*,$26.99 ,815,30.19,988,36.59,65,12.54,8-Dec,LGA775,Desktop,8-Dec,12/1/2008
Legacy Intel® Core™ Processors,Desktop,E4600,End of Interactive Support,Q4'07,65 nm,N/A,2,,2.40 GHz,,2 MB L2,800 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,73.3°C,No,No,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E6320 @ 1.86GHz,$49.99*,$49.99 ,594,11.88,703,14.05,65,9.14,8-Dec,PLGA775,Desktop,8-Dec,12/1/2008
Legacy Intel® Core™ Processors,Desktop,E4500,End of Interactive Support,Q3'07,65 nm,N/A,2,,2.20 GHz,,2 MB L2,800 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,73.3°C,No,No,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E6400 @ 2.13GHz,$29.95*,$29.95 ,771,25.76,845,28.21,65,11.87,9-Mar,LGA775,Desktop,9-Mar,3/1/2009
Legacy Intel® Core™ Processors,Desktop,E4700,End of Interactive Support,Q1'08,65 nm,N/A,2,,2.60 GHz,,2 MB L2,800 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,73.3°C,No,No,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E6420 @ 2.13GHz,$49.99*,$49.99 ,785,15.7,839,16.78,65,12.07,8-Nov,PLGA775,Desktop,8-Nov,11/1/2008
Legacy Intel® Core™ Processors,Desktop,E6400,End of Interactive Support,Q3'06,65 nm,N/A,2,,2.13 GHz,,2 MB L2,1066 MHz FSB,65 W,Yes,,,,,,,,,,,,,,,,,,,,,61.4°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E6550 @ 2.33GHz,$14.95*,$14.95 ,875,58.56,915,61.22,65,13.47,8-Nov,LGA775,Desktop,8-Nov,11/1/2008
Legacy Intel® Core™ Processors,Desktop,E6540,End of Interactive Support,Q3'07,65 nm,N/A,2,,2.33 GHz,,4 MB L2,1333 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,72°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E6750 @ 2.66GHz,$10.30*,$10.30 ,851,82.65,985,95.68,65,13.1,8-Nov,LGA775,Desktop,8-Nov,11/1/2008
Legacy Intel® Core™ Processors,Desktop,E6550,End of Interactive Support,Q3'07,65 nm,N/A,2,,2.33 GHz,,4 MB L2,1333 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,72°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E6850 @ 3.00GHz,$49.99*,$49.99 ,1117,22.35,1183,23.67,65,17.19,8-Nov,LGA775,Desktop,8-Nov,11/1/2008
Legacy Intel® Core™ Processors,Desktop,E6600,End of Interactive Support,Q3'06,65 nm,N/A,2,,2.40 GHz,,4 MB L2,1066 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,60.1°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E7200 @ 2.53GHz,$49.00*,$49.00 ,917,18.72,1053,21.5,65,14.12,8-Dec,LGA775,Desktop,8-Dec,12/1/2008
Legacy Intel® Core™ Processors,Desktop,E6700,End of Interactive Support,Q3'06,65 nm,N/A,2,,2.66 GHz,,4 MB L2,1066 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,60.1°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E7300 @ 2.66GHz,11.95,11.9,990,82.88,1126,94.21,65,15.24,8-Nov,LGA775,Desktop,8-Nov,11/1/2008
Legacy Intel® Core™ Processors,Desktop,E6750,End of Interactive Support,Q3'07,65 nm,N/A,2,,2.66 GHz,,4 MB L2,1333 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,72°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E7400 @ 2.80GHz,$28.99*,$28.99 ,978,33.73,1099,37.92,65,15.04,8-Dec,LGA775,Desktop,8-Dec,12/1/2008
Legacy Intel® Core™ Processors,Desktop,E6850,End of Interactive Support,Q3'07,65 nm,N/A,2,,3.00 GHz,,4 MB L2,1333 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,72°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E7500 @ 2.93GHz,13.9,13,1057,76.07,1187,85.4,65,16.27,9-Mar,LGA775,Desktop,9-Mar,3/1/2009
Legacy Intel® Core™ Processors,Desktop,E7200,End of Interactive Support,Q2'08,45 nm,N/A,2,,2.53 GHz,,3 MB L2,1066 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,74.1°C,No,No,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E7600 @ 3.06GHz,$119.95*,$119.95 ,1202,10.02,1227,10.23,65,18.49,9-Jun,LGA775,Desktop,9-Jun,6/1/2009
Legacy Intel® Core™ Processors,Desktop,E7400,End of Interactive Support,Q1'08,45 nm,$110.00 - $125.00,2,,2.80 GHz,,3 MB L2,1066 MHz FSB,65 W,Yes,,,,,,,,,,,,,,,,,,,,,74.1°C,No,See Ordering Info,Yes,64-bit,,Yes,Yes,,Yes,Intel Core2 Duo E8200 @ 2.66GHz,$49.99*,$49.99 ,948,18.96,1105,22.11,65,14.59,8-Nov,LGA775,Desktop,8-Nov,11/1/2008
