Intel® Atom™ Processor E Series,Embedded,E3815,Launched,Q4'13,22 nm,$31.00 ,1,1,1.46 GHz,,512 KB L2,,5 W,Yes,Yes,8 GB,DDR3L 1067,1,,Yes,,400 MHz,,,,,,,,,,2,"x4, x2, x1",4,-40°C to 110°C,No,Yes,Yes,64-bit,,,,,Yes,Intel Atom E3815 @ 1.46GHz,120,12,109,0.91,183,1.52,5,21.72,14-May,FCBGA1170,Desktop,14-May,5/1/2014
Intel® Atom™ Processor E Series,Embedded,E3825,Launched,Q4'13,22 nm,$34.00 ,2,2,1.33 GHz,,1 MB L2,,6 W,Yes,Yes,8 GB,DDR3L 1067,1,,Yes,,533 MHz,,,,,,,,,,2,"x4, x2, x1",4,-40°C to 110°C,No,Yes,Yes,64-bit,,,,,Yes,Intel Atom E3825 @ 1.33GHz,$70.32*,$70.32 ,399,5.68,357,5.08,6,66.51,14-Jun,FCBGA1170,Desktop,14-Jun,6/1/2014
Intel® Atom™ Processor E Series,Embedded,E3826,Launched,Q4'13,22 nm,$37.00 ,2,2,1.46 GHz,,1 MB L2,,7 W,Yes,Yes,8 GB,DDR3L 1067,2,,Yes,,533 MHz,,,,,,,,,,2,"x4, x2, x1",4,-40°C to 110°C,No,Yes,Yes,64-bit,,,,,Yes,Intel Atom E3826 @ 1.46GHz,NA,0,323,NA,389,NA,7,46.19,16-Jun,FCBGA1170,Laptop,16-Jun,6/1/2016
Intel® Atom™ Processor E Series,Embedded,E3827,Launched,Q4'13,22 nm,$41.00 ,2,2,1.75 GHz,,1 MB L2,,8 W,Yes,Yes,8 GB,DDR3L 1333,2,,Yes,,542 MHz,,,,,,,,,,2,"x4, x2, x1",4,-40°C to 110°C,No,Yes,Yes,64-bit,,,,,Yes,Intel Atom E3827 @ 1.74GHz,NA,0,534,NA,463,NA,8,66.71,16-Mar,FCBGA1170,Laptop,16-Mar,3/1/2016
Intel® Atom™ Processor E Series,Embedded,E3845,Launched,Q4'13,22 nm,$52.00 ,4,4,1.91 GHz,,2 MB L2,,10 W,Yes,Yes,8 GB,DDR3L 1333,2,,Yes,,542 MHz,,,,,,,,,,2,"x4, x2, x1",4,-40°C to 110°C,No,Yes,Yes,64-bit,,,,,Yes,Intel Atom E3845 @ 1.91GHz,NA,0,993,NA,514,NA,10,99.25,14-May,FCBGA1170,Desktop,14-May,5/1/2014
Intel® Atom™ Processor X Series,Embedded,E3940,Announced,Q4'16,14 nm,N/A,4,4,1.60 GHz,,2 MB L2,,9.5 W,Yes,Yes,8 GB,"DDR3L (ECC and Non ECC) up to 1866 MT/s; ,LPDDR4 up to 2133 MT/s",4,34.1 GB/s,Yes,,400 MHz,,2 GB,eDP/DP/HDMI/MIPI-DSI,, 3840x2160 @30Hz,4096x2160 @60Hz,3840x2160 @ 60Hz,Yes,,2,"x4,x2,x1",6,"100°C,110°C",No,Yes,Yes,64-bit,,Yes,Yes,Yes,Yes,Intel Atom E3940 @ 1.60GHz,NA,0,1948,NA,680,NA,9.5,205.07,18-May,Unknown,Laptop,18-May,5/1/2018
Intel® Atom™ Processor X Series,Embedded,E3950,Announced,Q4'16,14 nm,N/A,4,4,1.60 GHz,,2 MB L2,,12 W,Yes,Yes,8 GB,"DDR3L (ECC and Non ECC) up to 1866MT/s; ,LPDDR4 up to 2400 MT/s",4,38.4 GB/s,Yes,,500 MHz,,2 GB,eDP/DP/HDMI/MIPI-DSI,,3840x2160 @30Hz,4096x2160 @60Hz,3840x2160 @ 60Hz,Yes,,2,"x4,x2,x1",6,"98°C,110°C",No,Yes,Yes,64-bit,,Yes,Yes,Yes,Yes,Intel Atom E3950 @ 1.60GHz,NA,0,2102,NA,725,NA,12,175.16,16-Nov,BGA1296,Laptop,16-Nov,11/1/2016
Intel® Atom™ Processor N Series,Mobile,N2600,Launched,Q4'11,32 nm,$42.00 ,2,4,1.60 GHz,,1 MB L2,2.5 GT/s DMI,3.5 W,Yes,Yes,2.44 GB,DDR3,1,,,,400 MHz,,,,,,,,,,,,,,Yes,No,Yes,64-bit,"SSE2, SSE3, SSSE3",,Yes,,Yes,Intel Atom N2600 @ 1.60GHz,NA,0,531,NA,269,NA,3.5,151.79,12-Feb,BGA559,Laptop,12-Feb,2/1/2012
Legacy Intel Atom® Processors,Mobile,N270,End of Interactive Support,Q2'08,45 nm,$32.00 ,1,,1.60 GHz,,512 KB L2,533 MHz FSB,2.5 W,Yes,Yes,,,,,,,,,,,,,,,,,,,,90°C,Yes,No,No,32-bit,"SSE2, SSE3, SSSE4",No,Yes,,Yes,Intel Atom N270 @ 1.60GHz,NA,0,269,NA,252,NA,2.5,107.76,9-Feb,BGA437,Laptop,9-Feb,2/1/2009
Legacy Intel Atom® Processors,Mobile,N280,End of Interactive Support,Q1'09,45 nm,N/A,1,,1.66 GHz,,512 KB L2,667 MHz FSB,2.5 W,No,,,,,,,,,,,,,,,,,,,,,90°C,Yes,No,No,32-bit,"SSE2, SSE3, SSSE3",,Yes,,Yes,Intel Atom N280 @ 1.66GHz,NA,0,278,NA,250,NA,2.5,111.14,9-Feb,BGA437,Laptop,9-Feb,2/1/2009
