,name,year,TDP,Price,G3D_Mark,G2D_Mark
177,GeForce GTX 560 SE,2012,150.0,89.9,2201.0,575.0
178,Quadro 5000,2010,152.0,2303.99,2188.0,406.0
179,Radeon HD 6870,2012,151.0,150.0,2149.0,436.0
180,Quadro K4000M,2012,100.0,599.9,2146.0,442.0
181,Radeon HD 5850,2012,151.0,79.9,2109.0,368.0
182,Radeon R9 350,2016,60.0,103.8,2101.0,520.0
183,Radeon HD 7770,2012,80.0,145.3,2038.0,402.0
184,Quadro P520,2019,-1.0,1499.0,2031.0,282.0
185,GeForce GTX 460 SE,2012,150.0,159.9,2026.0,339.0
186,Radeon HD 6850,2012,127.0,165.3,2008.0,358.0
187,Quadro M600M,2015,30.0,102.9,1932.0,622.0
188,FirePro 3D V7800,2010,138.0,599.9,1867.0,562.0
189,Radeon R7 450,2016,65.0,52.4,1861.0,464.0
190,Radeon HD 6790,2011,150.0,64.9,1838.0,278.0
191,Quadro 5010M,2011,100.0,235.9,1833.0,568.0
192,Radeon HD 5830,2012,175.0,159.9,1792.0,298.0
193,FirePro W600,2013,75.0,400.9,1725.0,603.0
194,GeForce GTX 650,2012,64.0,89.3,1720.0,335.0
195,Radeon HD 7750,2012,55.0,144.99,1687.0,377.0
196,Quadro K3000M,2012,75.0,155.0,1685.0,372.0
197,Quadro P400,2017,30.0,113.59,1664.0,465.0
198,Quadro K2000D,2013,51.0,417.3,1657.0,535.0
199,GeForce GTX 550 Ti,2012,116.0,131.2,1599.0,313.0
200,GeForce GTX 660M,2012,50.0,78.9,1568.0,294.0
201,Quadro K2000,2013,51.0,120.0,1565.0,375.0
202,Radeon HD 4890,2012,190.0,109.9,1535.0,247.0
203,Radeon Vega 8,2018,-1.0,126.8,1533.0,422.0
204,Quadro 4000,2010,142.0,960.7,1528.0,370.0
205,Radeon HD 7730,2015,47.0,49.9,1469.0,451.0
206,GeForce GTX 275,2012,219.0,119.9,1462.0,499.0
207,GeForce GTX 285,2009,204.0,179.9,1450.0,448.0
208,FirePro W4100,2014,50.0,149.8,1448.0,444.0
209,GeForce GT 740,2014,64.0,154.3,1438.0,287.0
210,FirePro V5800,2016,-1.0,54.9,1433.0,482.0
211,Quadro K2100M,2013,55.0,550.0,1398.0,287.0
212,Radeon HD 5770,2012,108.0,369.2,1355.0,293.0
213,GeForce GT 545,2012,-1.0,55.5,1339.0,511.0
214,Quadro 4000M,2011,100.0,91.0,1337.0,405.0
215,FirePro V5900,2011,75.0,319.9,1325.0,494.0
216,FirePro V4900,2012,75.0,144.9,1310.0,688.0
217,Radeon R9 255,2014,-1.0,344.1,1304.0,350.0
218,FirePro 3D V5800,2010,74.0,369.9,1290.0,391.0
219,FirePro 3D V8750,2009,154.0,1230.9,1272.0,542.0
220,Radeon HD 4870,2012,150.0,129.9,1245.0,334.0
221,Radeon R7 430,2017,-1.0,114.99,1238.0,492.0
222,GeForce GTX 260,2012,202.0,95.3,1212.0,286.0
223,Radeon HD 6770,2011,108.0,76.9,1212.0,300.0
224,FirePro 3D V8700,2010,151.0,199.9,1206.0,515.0
225,Radeon Vega 6,2018,-1.0,1799.9,1179.0,305.0
226,Radeon R7 250,2013,75.0,59.9,1162.0,276.0
227,Radeon HD 5750,2012,86.0,69.4,1149.0,307.0
228,GeForce GT 640,2011,65.0,165.0,1148.0,262.0
229,Radeon R7 PRO A10-9700E,2017,-1.0,529.0,1143.0,460.0
230,GeForce GTS 450,2012,106.0,79.9,1138.0,286.0
231,GeForce GTX 295,2009,289.0,159.9,1132.0,462.0
232,Quadro FX 5800,2009,189.0,178.8,1128.0,433.0
233,Radeon HD 6750,2011,86.0,49.9,1128.0,340.0
234,Quadro 3000M,2011,75.0,69.9,1124.0,296.0
235,Radeon R9 M275,2014,-1.0,699.9,1115.0,569.0
236,Quadro K1100M,2013,45.0,49.9,1108.0,276.0
237,Radeon R7 A12-9800E RADEON,2017,-1.0,139.1,1106.0,389.0
238,Radeon HD 8570,2013,66.0,98.6,1073.0,409.0
239,Quadro K2000M,2012,55.0,144.0,1048.0,291.0
240,GeForce GTX 280,2012,236.0,522.7,1040.0,429.0
241,NVS 810,2016,-1.0,624.9,1015.0,457.0
242,Radeon R5 430,2017,-1.0,819.0,997.0,566.0
243,Quadro 2000D,2011,-1.0,170.0,986.0,396.0
244,Radeon E6760,2012,-1.0,239.9,973.0,573.0
245,Radeon R7 M445,2017,-1.0,744.0,957.0,269.0
246,Quadro 2000,2010,62.0,99.9,948.0,278.0
247,Quadro CX,2009,-1.0,149.9,947.0,454.0
248,Quadro FX 4800,2012,150.0,138.9,933.0,300.0
249,Radeon Vega 3,2018,-1.0,479.9,927.0,312.0
