,name,year,process,noCores,noThreads,baseFreq,CacheVal,maxMem,MemType,MemType_class,MemChannels,PCI_express,HyperTh,virtualTh,intel64,TDP,price,CPUMark,ThreadMark
425,Intel i7-4790,2014,22,4,8,3.6,8,32,DDR3,1,2,16,1,1,1,84,303,7228,2230
426,Intel i7-4790K,2014,22,4,8,4,8,32,DDR3,1,2,16,1,1,1,88,339,8114,2487
427,Intel i7-4790S,2014,22,4,8,3.2,8,32,DDR3,1,2,16,1,1,1,65,303,6809,2211
428,Intel i7-4790T,2014,22,4,8,2.7,8,32,DDR3,1,2,16,1,1,1,45,303,6510,2209
429,Intel i7-4800MQ,2013,22,4,8,2.7,6,32,DDR3,1,2,16,1,1,1,47,380,5868,1971
430,Intel i7-4810MQ,2014,22,4,8,2.8,6,32,DDR3,1,2,16,1,1,1,47,378,6096,2052
431,Intel i7-4820K,2013,22,4,8,3.7,10,64,DDR3,1,4,40,1,1,1,130,332,6514,1882
432,Intel i7-4850HQ,2013,22,4,8,2.3,6,32,DDR3,1,2,16,1,1,1,47,434,6026,1899
433,Intel i7-4860HQ,2014,22,4,8,2.4,6,32,DDR3,1,2,16,1,1,1,47,434,6143,1909
434,Intel i7-4870HQ,2014,22,4,8,2.5,6,32,DDR3,1,2,16,1,1,1,47,434,6353,2064
435,Intel i7-4900MQ,2013,22,4,8,2.8,8,32,DDR3,1,2,16,1,1,1,47,570,6525,2104
436,Intel i7-4910MQ,2014,22,4,8,2.9,8,32,DDR3,1,2,16,1,1,1,47,568,6140,1968
437,Intel i7-4930K,2013,22,6,12,3.4,12,64,DDR3,1,4,40,1,1,1,130,594,9551,1951
438,Intel i7-4960HQ,2013,22,4,8,2.6,6,32,DDR3,1,2,16,1,1,1,47,623,6582,2129
439,Intel i7-4960X,2013,22,6,12,3.6,15,64,DDR3,1,4,40,1,1,1,130,1059,9596,1992
440,Intel i7-4980HQ,2014,22,4,8,2.8,6,32,DDR3,1,2,16,1,1,1,47,623,6710,2270
441,Intel i7-5500U,2015,14,2,4,2.4,4,16,DDR3,1,2,12,1,1,1,15,393,2729,1619
442,Intel i7-5550U,2015,14,2,4,2,4,16,DDR3,1,2,12,1,1,1,15,426,2850,1713
443,Intel i7-5557U,2015,14,2,4,3.1,4,16,DDR3,1,2,12,1,1,1,28,426,3548,2054
444,Intel i7-5600U,2015,14,2,4,2.6,4,16,DDR3,1,2,12,1,1,1,15,393,3085,1861
445,Intel i7-5650U,2015,14,2,4,2.2,4,16,DDR3,1,2,12,1,1,1,15,426,3003,1855
446,Intel i7-5700EQ,2015,14,4,8,2.6,6,32,DDR3,1,2,16,1,1,1,47,378,5732,2040
447,Intel i7-5700HQ,2015,14,4,8,2.7,6,32,DDR3,1,2,16,1,1,1,47,378,5947,2078
448,Intel i7-5775C,2015,14,4,8,3.3,6,32,DDR3,1,2,16,1,1,1,65,366,7747,2279
449,Intel i7-5775R,2015,14,4,8,3.3,6,32,DDR3,1,2,16,1,1,1,65,348,7590,2204
450,Intel i7-5820K,2014,22,6,12,3.3,15,64,DDR4,2,4,28,1,1,1,140,389,9763,2009
451,Intel i7-5850EQ,2015,14,4,8,2.7,6,32,DDR3,1,2,16,1,1,1,47,435,6829,2036
452,Intel i7-5850HQ,2015,14,4,8,2.7,6,32,DDR3,1,2,16,1,1,1,47,434,6665,2131
453,Intel i7-5930K,2014,22,6,12,3.5,15,64,DDR4,2,4,40,1,1,1,140,583,10276,2037
454,Intel i7-5950HQ,2015,14,4,8,2.9,6,32,DDR3,1,2,16,1,1,1,47,623,7501,2292
455,Intel i7-5960X,2014,22,8,16,3,20,64,DDR4,2,4,40,1,1,1,140,999,12500,1993
456,Intel i7-610E,2010,32,2,4,2.53,4,8.79,DDR3,1,2,16,1,1,1,35,232,1802,1437
457,Intel i7-620M,2010,32,2,4,2.66,4,8,DDR3,1,2,16,1,1,1,35,250,1939,1301
458,Intel i7-6500U,2015,14,2,4,2.5,4,32,DDR4,2,2,12,1,1,1,15,393,3312,1743
459,Intel i7-6600U,2015,14,2,4,2.6,4,32,DDR4,2,2,12,1,1,1,15,393,3619,1902
460,Intel i7-6650U,2015,14,2,4,2.2,4,32,DDR4,2,2,12,1,1,1,15,415,3657,1926
461,Intel i7-6700,2015,14,4,8,3.4,8,64,DDR4,2,2,16,1,1,1,65,303,8081,2304
462,Intel i7-6700HQ,2015,14,4,8,2.6,6,64,DDR4,2,2,16,1,1,1,45,378,6504,1897
463,Intel i7-6700K,2015,14,4,8,4,8,64,DDR4,2,2,16,1,1,1,95,339,9007,2532
464,Intel i7-6700T,2015,14,4,8,2.8,8,64,DDR4,2,2,16,1,1,1,35,303,7373,2107
465,Intel i7-6700TE,2015,14,4,8,2.4,8,64,DDR4,2,2,16,1,1,1,35,303,6680,2111
466,Intel i7-6770HQ,2016,14,4,8,2.6,6,64,DDR4,2,2,16,1,1,0,45,434,7273,1950
467,Intel i7-6800K,2016,14,6,12,3.4,15,128,DDR4,2,4,28,1,1,1,140,434,10462,2260
468,Intel i7-6820EQ,2015,14,4,8,2.8,8,64,DDR4,2,2,16,1,1,1,45,378,6827,2126
469,Intel i7-6820HK,2015,14,4,8,2.7,8,64,DDR4,2,2,16,1,1,1,45,378,7065,1958
470,Intel i7-6820HQ,2015,14,4,8,2.7,8,64,DDR4,2,2,16,1,1,1,45,378,6908,2022
471,Intel i7-6822EQ,2015,14,4,8,2,8,64,DDR4,2,2,16,1,1,1,25,378,5304,1591
472,Intel i7-6850K,2016,14,6,12,3.6,15,128,DDR4,2,4,40,1,1,1,140,617,11358,2461
473,Intel i7-6900K,2016,14,8,16,3.2,20,128,DDR4,2,4,40,1,1,1,140,1089,14408,2481
474,Intel i7-6920HQ,2015,14,4,8,2.9,8,64,DDR4,2,2,16,1,1,1,45,568,7683,2216
475,Intel i7-6950X,2016,14,10,20,3,25,128,DDR4,2,4,40,1,1,1,140,1723,17264,2403
476,Intel i7-720QM,2009,45,4,8,1.6,6,8,DDR3,1,2,16,1,1,1,45,380,1702,1016
477,Intel i7-740QM,2010,45,4,8,1.73,6,8,DDR3,1,2,16,1,1,1,45,380,1685,877
478,Intel i7-7500U,2016,14,2,4,2.7,4,32,DDR4,2,2,12,1,1,1,15,393,3655,2022
479,Intel i7-7560U,2017,14,2,4,2.4,4,32,DDR4,2,2,12,1,1,1,15,415,4128,2207
480,Intel i7-7600U,2017,14,2,4,2.8,4,32,DDR4,2,2,12,1,1,1,15,393,3785,2126
481,Intel i7-7660U,2017,14,2,4,2.5,4,32,DDR4,2,2,12,1,1,1,15,415,4443,2381
482,Intel i7-7700,2017,14,4,8,3.6,8,64,DDR4,2,2,16,1,1,1,65,303,8619,2482
483,Intel i7-7700HQ,2017,14,4,8,2.8,6,64,DDR4,2,2,16,1,1,1,45,378,6955,2061
484,Intel i7-7700K,2017,14,4,8,4.2,8,64,DDR4,2,2,16,1,1,1,95,339,9754,2776
485,Intel i7-7700T,2017,14,4,8,2.9,8,64,DDR4,2,2,16,1,1,1,35,303,7760,2260
486,Intel i7-7740X,2017,14,4,8,4.3,8,64,DDR4,2,2,16,1,1,1,112,339,9686,2839
487,Intel i7-7800X,2017,14,6,12,3.5,8.25,128,DDR4,2,4,28,1,1,1,140,383,12981,2489
488,Intel i7-7820EQ,2017,14,4,8,3,8,64,DDR4,2,2,16,1,1,1,45,378,7087,2260
