,name,year,TDP,price,G3DMark,G2DMark
262,Radeon HD 7650A,2012,-1,262,793,707
263,Radeon HD 5670,2012,64,47.8,784,294
264,NVS 510,2012,35,335.78,775,369
265,GeForce GT 340,2011,69,52.9,774,469
266,Quadro FX 3800,2009,108,98.9,764,224
267,FirePro V3900,2012,50,129.9,759,320
268,Quadro K1000M,2012,45,69.9,756,282
269,Quadro K600,2013,41,34.9,751,271
270,Quadro K420,2014,41,188.3,742,258
271,Radeon R7 A12-9700P RADEON,2016,-1,435.9,725,181
272,GeForce GTS 240,2009,120,64.9,714,430
273,Quadro K610M,2014,30,75,707,269
274,Radeon HD 7570,2012,44,51.4,694,383
275,Radeon HD 6670,2012,66,102.9,689,225
276,GeForce 9800 GTX/9800 GTX+,2009,-1,89.9,667,378
277,GeForce GT 640M LE,2012,32,849.9,666,178
278,Quadro 500M,2013,35,275.1,664,588
279,FireGL V7700,2011,-1,174.9,660,422
280,GeForce 8800 GTX,2012,155,199.9,656,261
281,GeForce GT 530,2011,50,49,644,304
282,GeForce GT 630,2012,50,575,635,177
283,Radeon R5 330,2017,30,339.9,635,285
284,Radeon R5 420,2017,-1,39.9,620,341
285,GeForce GTS 250,2012,150,89.9,619,269
286,Quadro FX 5600,2009,-1,168.9,613,403
287,GeForce GT 710,2014,25,35.99,605,197
288,Quadro 1000M,2012,45,54.5,603,207
289,GeForce GT 720,2014,19,99.9,588,192
290,Radeon HD 3870,2012,106,279.9,587,227
291,GeForce GT 240,2012,69,57.9,569,227
292,Quadro FX 3700M,2009,75,925,567,312
293,Intel HD 5000,2013,-1,625,561,246
294,Quadro 600,2012,40,59.9,557,222
295,GeForce GT 330,2010,-1,39.9,555,467
296,FireGL V8650,2010,-1,329.9,550,637
297,GeForce GT 430,2012,49,159.9,550,166
298,FirePro 3D V5700,2009,58,319.9,547,517
299,FirePro 3D V7750,2009,76,350,545,468
300,GeForce 8800 GT,2009,125,269.9,536,253
301,GeForce 9800M GTX,2009,75,328.5,517,333
302,Radeon R5 240,2014,50,61,514,226
303,GeForce GT 540M,2012,32,87.9,497,92
304,Radeon HD 6570,2012,44,49.9,496,199
305,Radeon HD 7470,2012,27,18.7,486,343
306,Radeon HD 7670M,2012,20,629.9,476,149
307,Radeon R7 M260,2014,-1,799,474,143
308,FirePro 3D V3800,2010,43,149.9,472,507
309,GeForce 9600 GT,2011,95,70,472,180
310,GeForce 9800 GT,2012,125,149.9,464,268
311,GeForce GT 320,2010,43,32.6,462,225
312,GeForce GT 130,2009,75,27.9,456,386
313,Radeon HD 5570,2012,39,179.42,451,186
314,Quadro FX 4600,2009,134,124.9,448,390
315,Quadro 410,2012,38,129,438,322
316,Quadro FX 2800M,2010,75,49.9,415,187
317,Radeon HD 4670,2012,59,109.9,409,173
318,Quadro FX 2700M,2009,65,99.9,404,205
319,Quadro FX 1800,2009,59,99.9,402,264
320,GeForce GT 420,2010,50,155,399,218
321,Quadro FX 3700,2010,78,89.9,384,304
322,Radeon HD 6490M,2011,-1,1193,378,514
323,GeForce GT 620,2012,30,39.9,373,175
324,GeForce 9600 GSO,2009,84,49.9,370,303
325,Radeon HD 5550,2010,39,54.9,363,191
326,FirePro 3D V3750,2009,48,50.8,341,467
327,FirePro RG220,2011,35,650.1,335,552
328,Radeon R5 310,2015,-1,499,332,545
329,GeForce GT 230,2009,-1,43.9,327,270
330,Intel HD 4000,2012,-1,1592.9,325,175
331,GeForce 605,2012,-1,109.9,324,529
332,NVS 315,2014,19.5,59.9,319,309
333,Quadro FX 3500,2009,80,68.9,319,204
334,Radeon R5 235,2014,35,60.1,313,346
335,Quadro FX 3500M,2009,45,99.9,306,309
336,Radeon HD 6380G,2012,35,399.9,300,234
337,Quadro FX 770M,2009,35,527,297,339
338,GeForce GT 610,2012,29,74.9,294,129
339,Radeon HD 8490,2014,35,59.6,293,320
340,GeForce GT 520M,2012,12,29.9,288,91
341,GeForce GT 520,2011,29,74.9,286,128
342,GeForce 8600 GTS,2012,75,70,284,410
343,Radeon HD 8350,2013,4.4,23.1,266,714
344,GeForce 7950 GT,2011,-1,299.9,265,382
345,NVS 4200M,2012,-1,399,264,104
346,Radeon HD 4650,2011,48,124.9,257,189
347,Intel HD 3000,2012,-1,945,255,133
348,Radeon HD 6470M,2012,-1,569.9,245,100
349,GeForce 7800 GT,2009,-1,80,244,273
350,NVS 310,2012,19.5,59.9,244,337
351,Quadro FX 5500,2009,96,315.9,242,394
352,Radeon R5 230,2018,-1,59.9,242,503
353,GeForce 510,2011,25,69.9,238,281
354,Radeon HD 7450,2012,18,49.9,238,232
355,Radeon HD 4550,2012,20,126.9,236,429
356,Radeon HD 5450,2012,19.1,98.6,231,433
357,FirePro 2270,2012,17,144.9,227,553
358,GT 430,2013,-1,142.8,223,325
359,HD6450,2016,-1,39.9,221,417
360,Quadro FX 2500M,2009,45,17.5,218,272
361,FirePro 2460,2012,17,83.9,216,573
362,GeForce GT 220,2012,58,39.9,216,169
363,Quadro FX 1600M,2009,50,149.9,214,316
