,name,year,TDP,Price,CPU_Mark,Thread_Mark
773,AMD Ryzen 5 1600,2017,65,104.99,12525,2111
774,AMD Ryzen 7 1700,2017,65,279.86,14508,1984
775,AMD Ryzen 7 1700X,2017,95,249.99,15649,2076
776,AMD A8-9600,2017,65,72.31,3327,1495
777,AMD Opteron 4365 EE,2017,40,0,3243,922
778,AMD Ryzen 5 1400,2017,65,186.86,7971,1940
779,AMD Ryzen 5 1500X,2017,65,228.86,8982,2073
780,AMD Ryzen 5 1600X,2017,95,258.86,13132,2196
781,AMD A4-5050 APU,2017,13.5,0,1261,510
782,AMD E2-9000,2017,10,0,774,662
783,AMD Embedded R-Series RX-216GD,2017,15,0,1599,1288
784,AMD Opteron X3421 APU,2017,35,0,3137,1394
785,AMD Ryzen 3 1200,2017,65,87.2,6319,1922
786,AMD Ryzen 7 PRO 1700X,2017,95,0,15870,2217
787,AMD A12-9720P,2017,15,0,2671,1349
788,AMD A12-9730P,2017,35,0,2898,1464
789,AMD E2-9000e,2017,6,0,816,742
790,AMD Ryzen 5 PRO 1500,2017,65,0,9809,2203
791,AMD A10-9620P,2017,15,0,2670,1351
792,AMD A6-9220,2017,15,0,1396,1226
793,AMD A6-9230,2017,15,0,1281,1120
794,AMD A9-9420,2017,15,0,1569,1297
795,AMD Opteron X3216 APU,2017,15,0,1528,1265
796,AMD PRO A8-8670E,2017,35,0,3078,1446
797,AMD Ryzen 3 1300X,2017,65,192.9,7058,2135
798,AMD Ryzen 3 PRO 1200,2017,65,0,6848,1872
799,AMD Ryzen Threadripper 1920X,2017,180,301.06,22637,2266
800,AMD Ryzen Threadripper 1950X,2017,180,649.99,26793,2293
801,AMD A12-9800E,2017,35,121.38,3289,1537
802,AMD A4-9120,2017,15,0,1255,1064
803,AMD Athlon X4 950,2017,65,118.86,3656,1596
804,AMD Embedded G-Series GX-215JJ Radeon R2E,2017,10,0,1075,854
805,AMD Embedded G-Series GX-420GI Radeon R7E,2017,16.1,0,1462,777
806,AMD EPYC 7551,2017,180,1395,19606,1660
807,AMD PRO A12-8830B,2017,15,0,2462,1247
808,AMD Ryzen 3 PRO 1300,2017,65,0,7825,2222
809,AMD Ryzen 5 PRO 1600,2017,65,0,10758,1728
810,AMD Ryzen 7 PRO 1700,2017,65,0,14023,2016
811,AMD Ryzen Threadripper 1900X,2017,180,224.94,17108,2367
812,AMD A10-9700E,2017,35,154.1,2972,1455
813,AMD Embedded G-Series GX-224IJ Radeon R4E,2017,15,0,1272,1082
814,AMD EPYC 7351P,2017,155,1498,15792,1691
815,AMD EPYC 7401P,2017,155,980,21450,1645
816,AMD Ryzen 5 2500U,2017,15,0,6587,1829
817,AMD A9-9430,2017,-1,0,1668,1453
818,AMD EPYC 7501,2017,155,3353.8,20094,1735
819,AMD Ryzen 3 2200U,2017,15,0,3615,1668
820,AMD Ryzen 7 2700U,2017,15,0,6209,1444
709,AMD A6 Micro-6500T APU,2016,-1,0,1116,601
710,AMD A8-7050,2016,15,0,1114,828
711,AMD FX-4320,2016,95,0,3276,1601
712,AMD PRO A10-8850B,2016,95,0,3908,1691
713,AMD PRO A6-8500B,2016,15,0,1674,1340
714,AMD PRO A4-8350B,2016,65,17.95,1805,1599
715,AMD A10-7860K,2016,65,149.95,3268,1502
716,AMD Athlon X4 845,2016,65,53.1,3819,1682
717,AMD Athlon X4 870K,2016,95,79.9,3473,1586
718,AMD E1-6050J APU,2016,10,0,1385,787
719,AMD Opteron 4334,2016,95,128.6,3925,1253
720,AMD A10-7890K,2016,95,199.9,3624,1640
721,AMD Athlon 5370 APU,2016,25,598.68,1771,727
722,AMD Athlon X4 880K,2016,95,99.9,3705,1642
723,AMD A10-8850,2016,-1,0,3665,1707
724,AMD A6-7470K,2016,65,238.74,1817,1629
725,AMD A6-8500P,2016,15,0,1371,1202
726,AMD A10-9600P,2016,15,0,2269,1171
727,AMD A8-7500,2016,65,0,4488,1535
728,AMD E1-7010 APU,2016,10,0,635,483
729,AMD FX-9800P,2016,15,0,2776,1503
730,AMD Opteron 3320 EE,2016,25,0,1906,828
731,AMD Phenom II X4 B70,2016,65,0,2357,1256
732,AMD PRO A4-3350B APU,2016,15,0,1527,688
733,AMD PRO A6-8550B,2016,65,0,1924,1663
734,AMD A6-9210,2016,15,0,1147,1052
735,AMD A9-9410,2016,25,0,1472,1343
736,AMD GX-222GC SOC,2016,15,0,1011,781
737,AMD Phenom X2 Dual-Core GE-5060,2016,-1,0,1566,1053
738,AMD PRO A10-9700E,2016,35,139,3267,1544
739,AMD PRO A12-9800B,2016,15,0,2577,1365
740,AMD A10-9630P,2016,35,0,2891,1356
741,AMD A12-9700P,2016,15,0,2393,1091
742,AMD FirePro A320 APU,2016,100,0,2642,1440
743,AMD Geode NX 2400+,2016,-1,0,400,634
744,AMD PRO A8-9600,2016,65,119,3445,1520
745,AMD A12-9800,2016,65,130,3646,1761
746,AMD FX-870K Quad Core,2016,-1,0,3301,1496
747,AMD Phenom X4 Quad-Core GP-9530,2016,-1,0,1268,442
748,AMD Phenom X4 Quad-Core GP-9730,2016,-1,0,1842,1015
749,AMD FX-6330 Six-Core,2016,95,0,4451,1537
750,AMD PRO A10-9700,2016,65,169,3620,1652
751,AMD PRO A12-8870E,2016,35,0,3059,1629
752,AMD A10-9700,2016,65,88.99,3443,1599
753,AMD A6-9500,2016,65,58.99,1795,1620
754,AMD A9-9400,2016,10,0,1502,1236
755,AMD FX-9830P,2016,35,0,3003,1549
756,AMD PRO A10-8730B,2016,15,0,2422,1246
664,AMD Athlon 64 3100+,2015,89,0,484,600
665,AMD Athlon X4 840,2015,65,78.7,3170,1444
666,AMD FX-7600P,2015,35,0,2490,1202
667,AMD GX-412HC,2015,7,0,940,401
668,AMD Opteron 4162 EE,2015,35,19.9,3167,587
669,AMD Opteron 6287 SE,2015,-1,0,6400,1099
670,AMD A6-7000,2015,17,0,996,797
671,AMD A8-7650K,2015,65,148.68,2874,1317
672,AMD Opteron 6378,2015,115,1295,5853,1114
673,AMD R-460L APU,2015,25,0,1187,754
674,AMD Athlon X4 750 Quad Core,2015,65,0,1951,1308
675,AMD Opteron 6380,2015,115,49.1,6488,1203
676,AMD RX-427BB,2015,35,0,2474,1236
677,AMD Athlon II X4 638 Quad-Core,2015,65,26.4,2030,1176
678,AMD A10 Micro-6700T APU,2015,5,0,1257,671
679,AMD Sempron X2 198 Dual-Core,2015,65,0,932,1064
680,AMD A10-7870K,2015,95,226.9,3620,1606
681,AMD A6-7310 APU,2015,25,0,1661,758
682,AMD A8-7410 APU,2015,25,0,1855,821
683,AMD GX-210JA SOC,2015,6,0,233,217
684,AMD QC-4000,2015,15,0,1122,436
685,AMD A10-8700P,2015,35,0,2250,1130
686,AMD A4-5100 APU,2015,15,0,1212,515
687,AMD A4-7210 APU,2015,25,0,1710,750
688,AMD A8-7200P,2015,35,0,2127,1004
689,AMD E1-6015 APU,2015,-1,0,530,450
690,AMD Phenom X4 Quad-Core GS-6560,2015,-1,0,1063,282
691,AMD A8-8600P,2015,15,0,2191,1062
692,AMD FX-8800P,2015,35,0,3050,1428
693,AMD A10-8750,2015,65,0,3445,1585
694,AMD A8-7670K,2015,95,89.95,3360,1530
695,AMD Opteron 4332 HE,2015,65,36.99,3692,1330
696,AMD PRO A12-8800B,2015,15,0,2461,1215
697,AMD E2-7110 APU,2015,15,0,1531,613
698,AMD A4 PRO-3340B,2015,25,0,1427,721
699,AMD A6-8550,2015,65,0,1671,1548
700,AMD A8-8650,2015,65,0,3389,1573
701,AMD Embedded R-Series RX-421BD,2015,35,0,3048,1384
702,AMD Opteron 1214 HE,2015,65,0,826,821
703,AMD PRO A10-8700B,2015,15,0,2173,1114
704,AMD PRO A10-8750B,2015,65,0,3434,1436
705,AMD PRO A8-8600B,2015,15,0,1975,1062
706,AMD PRO A8-8650B,2015,65,0,3086,1456
707,AMD FX-4330,2015,95,0,3446,1553
708,AMD Phenom II X2 570,2015,80,0,1377,1415
593,AMD A10-7700K APU,2014,95,119.99,3191,1451
594,AMD A10-7850K APU,2014,95,149.95,3271,1445
595,AMD Athlon II X4 655,2014,95,0,2077,1443
596,AMD GX-217GA SOC,2014,15,0,664,523
597,AMD Turion Dual-Core RM-74,2014,35,0,452,535
598,AMD A10-6800B APU,2014,100,0,2499,1367
599,AMD A6-6400B APU,2014,65,0,1588,1572
600,AMD E2-3000 APU,2014,15,0,682,514
601,AMD E2-3800 APU,2014,15,0,971,416
602,AMD Opteron 1389,2014,75,0,2183,1166
603,AMD Opteron 4280,2014,95,50,4162,1149
604,AMD TurionX2 Ultra DualCore Mobile ZM-85,2014,35,0,647,617
605,AMD A8-6500T APU,2014,45,59.9,1784,1025
606,AMD Athlon 5350 APU,2014,25,79.99,1791,706
607,AMD Athlon X2 280,2014,65,33.4,1307,1198
608,AMD A4-6320 APU,2014,65,69.9,1457,1467
609,AMD A6-5345M APU,2014,17,0,1102,1070
610,AMD A8-6500B APU,2014,65,49.95,2726,1487
611,AMD Athlon 5150 APU,2014,25,69.95,1392,541
612,AMD FX-670K Quad-Core,2014,65,0,2714,1528
613,AMD Opteron 6366 HE,2014,85,29.9,4829,783
614,AMD Sempron 2650 APU,2014,25,59.95,579,457
615,AMD Sempron 3850 APU,2014,25,79.68,1089,429
616,Athlon 64 Dual Core 3800+,2014,35,0,1234,570
617,AMD A10 PRO-7350B APU,2014,19,0,1746,875
618,AMD A10-6700T APU,2014,45,147.6,2186,1239
619,AMD A10-7800 APU,2014,65,149.86,3063,1417
620,AMD A8-6410 APU,2014,15,0,1765,781
621,AMD Opteron 4386,2014,95,128.6,4351,1000
622,AMD A10-7300 APU,2014,19,0,1585,744
623,AMD A4-4020 APU,2014,65,44.68,881,1027
624,AMD A4-6210 APU,2014,15,0,1434,613
625,AMD A6-6310 APU,2014,15,0,1708,772
626,AMD A8 PRO-7150B APU,2014,19,0,1473,763
627,AMD A8-7600 APU,2014,65,148.86,3202,1384
628,AMD E1-6010 APU,2014,10,0,538,422
629,AMD GX-212JC SOC,2014,6,0,562,426
630,AMD GX-424CC SOC,2014,25,0,1760,808
631,AMD Opteron 6386 SE,2014,140,135.09,6974,1247
632,AMD A8-7100 APU,2014,19,0,1768,895
633,AMD Opteron 1385,2014,115,54,1993,1095
634,AMD Opteron 2419 EE,2014,60,0,2926,609
635,AMD Phenom II N830 3+1,2014,35,0,1768,916
636,AMD Phenom II X940 Quad-Core,2014,45,0,1797,769
637,AMD A4-7300 APU,2014,65,29.95,1470,1486
638,AMD A6 PRO-7050B APU,2014,17,0,979,772
639,AMD A8 PRO-7600B APU,2014,65,0,2647,1295
640,AMD Athlon X4 860K,2014,95,148.86,3442,1525
641,AMD FX-8370 Eight-Core,2014,125,269.99,6140,1633
642,AMD FX-8370E Eight-Core,2014,95,295.86,5061,1432
643,AMD A10 PRO-7800B APU,2014,65,0,2983,1375
644,AMD A6-6420K APU,2014,65,149.9,1545,1550
645,AMD A6-7400K APU,2014,65,59.95,1646,1446
646,AMD E1 Micro-6200T APU,2014,3.95,0,585,475
647,AMD E1-2200 APU,2014,9,0,445,346
648,AMD E2-6110 APU,2014,15,0,1125,453
649,AMD FX-7500 APU,2014,19,0,1955,1007
650,AMD FX-7600P APU,2014,35,0,2817,1335
651,AMD FX-8310 Eight-Core,2014,95,0,4996,1438
652,AMD FX-8320E Eight-Core,2014,95,162.99,5003,1361
653,AMD A10 PRO-7850B APU,2014,95,0,3086,1479
654,AMD A4 Micro-6400T APU,2014,4.5,0,978,506
655,AMD A6-6420B APU,2014,65,0,1523,1593
656,AMD Opteron 3365,2014,65,0,4089,1162
657,AMD A10-7400P,2014,35,0,2144,1043
658,AMD A4 PRO-7300B APU,2014,65,0,1397,1426
659,AMD A4 PRO-7350B,2014,65,0,1010,1092
660,AMD A4-6250J APU,2014,25,0,1555,677
661,AMD A6 PRO-7400B,2014,65,0,1505,1381
662,AMD FX-770K Quad-Core,2014,65,0,2314,1406
663,AMD Opteron 6238,2014,115,349.89,5199,1165
517,AMD FX-8300 Eight-Core,2013,95,149.95,5338,1496
518,AMD FX-B4150 Quad-Core,2013,95,89.68,3114,1435
519,AMD Opteron 4284,2013,95,59.9,4311,1189
520,AMD Opteron 6282 SE,2013,140,630.1,5901,960
521,AMD Opteron 8439 SE,2013,105,52,3813,908
522,AMD Phenom II X620 Dual-Core,2013,45,0,1242,1275
523,AMD A4-3330MX APU,2013,45,0,818,1016
524,AMD A8-5500B APU,2013,65,54.95,2649,1359
525,AMD Athlon II X2 280,2013,65,76.8,1140,1264
526,AMD E-350D APU,2013,18,0,424,511
527,AMD E1-1500 APU,2013,18,0,405,463
528,AMD E2-2000 APU,2013,18,0,459,532
529,AMD FX-6130 Six-Core,2013,125,0,4023,1399
530,AMD Opteron 2435,2013,75,14.98,4709,913
531,AMD Opteron 6276,2013,115,199,5714,1097
532,AMD Phenom X2 Dual-Core GE-7060,2013,-1,0,994,1268
533,AMD Z-60 APU,2013,4.5,0,255,323
534,AMD Opteron 2393 SE,2013,105,0,1383,1309
535,AMD Opteron 3380,2013,65,809,4109,1094
536,AMD A10-4657M APU,2013,35,0,1765,914
537,AMD A10-5750M APU,2013,35,53,1894,1129
538,AMD A4-4000 APU,2013,65,34.9,1128,1141
539,AMD A6-1450 APU,2013,8,0,971,418
540,AMD Athlon 64 FX-59,2013,-1,0,716,885
541,AMD FX-6350 Six-Core,2013,125,99.95,4439,1552
542,AMD Opteron 2222,2013,95,19,1844,951
543,AMD Opteron 6174,2013,115,15,5688,751
544,AMD Opteron 6212,2013,115,269.7,3739,994
545,AMD Opteron 6348,2013,115,296.2,9151,1266
546,AMD A10-6700 APU,2013,65,79.95,3121,1652
547,AMD A10-6800K APU,2013,100,149.95,3186,1609
548,AMD A8-6600K APU,2013,100,74.95,2960,1498
549,AMD FX-4350 Quad-Core,2013,125,98.68,3406,1647
550,AMD Opteron 3350 HE,2013,45,0,2808,1345
551,AMD Opteron 6136,2013,115,22.5,5202,844
552,AMD Opteron 6164 HE,2013,85,0,5351,614
553,AMD A10-5745M APU,2013,25,0,1658,928
554,AMD A10-5757M APU,2013,35,0,1955,1200
555,AMD A10-5800B APU,2013,100,59.95,2850,1529
556,AMD A4-1250 APU,2013,8,0,419,319
557,AMD A4-5150M APU,2013,35,0,1110,1085
558,AMD A6-5200 APU,2013,25,0,1538,619
559,AMD A6-5350M APU,2013,35,33.1,1090,1077
560,AMD A6-6400K APU,2013,65,39.95,1378,1366
561,AMD A8-5550M APU,2013,35,0,1965,1141
562,AMD A8-5557M APU,2013,35,0,1765,1014
563,AMD Athlon X2 340 Dual Core,2013,65,49.9,1313,1297
564,AMD E1-2100 APU,2013,9,0,413,327
565,AMD FX-9370 Eight-Core,2013,220,298.68,6033,1667
566,AMD G-T56E,2013,18,0,430,530
567,AMD Opteron 6220,2013,115,19,4392,1211
568,AMD Opteron 6328,2013,115,1454,5053,1359
569,AMD Opteron 6344,2013,115,394.9,6032,1216
570,AMD A4-5000 APU,2013,15,0,1230,505
571,AMD A8-5545M APU,2013,19,0,1751,985
572,AMD A8-6500 APU,2013,65,148.86,2606,1438
573,AMD Athlon X4 760K Quad Core,2013,100,69.95,3043,1584
574,AMD FX-9590 Eight-Core,2013,220,221,6625,1802
575,AMD G-T48E,2013,18,0,430,469
576,AMD Opteron 6376,2013,115,55.1,5538,1151
577,AMD Athlon II X4 559,2013,-1,0,2512,1397
578,AMD E1-2500 APU,2013,15,0,592,456
579,AMD Opteron 2354,2013,115,60,1558,909
580,AMD A4-1200 APU,2013,3.9,0,414,309
581,AMD A6-5357M APU,2013,35,0,1207,1073
582,AMD A4-6300 APU,2013,65,27.94,1337,1302
583,AMD A6-5400B APU,2013,65,28.94,1423,1408
584,AMD Athlon 64 2000+,2013,8,0,238,267
585,AMD Athlon 64 2600+,2013,15,0,374,449
586,AMD Athlon X2 370K Dual Core,2013,65,0,1478,1481
587,AMD GX-415GA SOC,2013,15,0,1324,504
588,AMD A10-6790K APU,2013,100,99.95,2841,1532
589,AMD A4-6300B APU,2013,65,27.95,1471,1490
590,AMD FX-4150 Quad-Core,2013,125,0,3074,1476
591,AMD FX-4200 Quad-Core,2013,125,59.95,3157,1315
592,AMD GX-420CA SOC,2013,25,0,1549,599
450,AMD A4-3420 APU,2012,65,12.95,1106,1155
451,AMD A6-3420M APU,2012,35,0,1205,747
452,AMD A6-3670 APU,2012,100,610,2073,1106
453,AMD A8-3520M APU,2012,35,55,1342,800
454,AMD A8-3820 APU,2012,65,44.9,2017,1097
455,AMD Athlon II X2 4300e,2012,13,0,838,994
456,AMD Athlon X2 255,2012,65,0,923,1043
457,AMD FX-8100 Eight-Core,2012,95,128.86,3470,966
458,AMD Opteron 6234,2012,115,112.86,3763,551
459,AMD Phenom II X2 B59,2012,80,34.04,1305,1364
460,AMD A4-3305M APU,2012,35,20.8,787,861
461,AMD A6-3430MX APU,2012,45,0,1333,782
462,AMD A6-3620 APU,2012,65,22.95,1795,996
463,AMD Athlon II X4 651 Quad-Core,2012,100,149.95,2356,1297
464,AMD Opteron 6274,2012,115,35.09,3149,898
465,AMD A4-3320M APU,2012,35,36.9,879,833
466,AMD A8-3550MX APU,2012,45,0,1583,933
467,AMD Athlon Dual Core 5600B,2012,65,0,798,1038
468,AMD Athlon II X4 641 Quad-Core,2012,100,79.8,1983,1158
469,AMD FX-4170 Quad-Core,2012,125,128.6,2897,1436
470,AMD FX-6200 Six-Core,2012,125,98.86,3995,1404
471,AMD FX-8140 Eight-Core,2012,95,148.86,4577,1345
472,AMD A10-4600M APU,2012,35,59.9,1977,1109
473,AMD A6-4400M APU,2012,35,19.5,1011,984
474,AMD Opteron 1381,2012,75,0,1887,1069
475,AMD Phenom II X3 B77,2012,95,22.2,1919,1343
476,AMD Phenom II X640 Dual-Core,2012,45,0,1147,1088
477,AMD Sempron 130,2012,45,30,513,1002
478,AMD A4-4300M APU,2012,35,29.86,1053,1074
479,AMD A8-4500M APU,2012,35,0,1723,925
480,AMD Athlon II N370 Dual-Core,2012,35,0,885,870
481,AMD A10-5700 APU,2012,65,59.95,2722,1440
482,AMD A8-5500 APU,2012,65,30.19,2563,1357
483,AMD E2-1800 APU,2012,18,0,430,533
484,AMD FX-6120 Six-Core,2012,95,98.68,3873,1452
485,AMD Opteron 4274 HE,2012,65,39.9,5776,1060
486,AMD Sempron X2 190,2012,45,83.4,865,930
487,AMD A10-4655M APU,2012,25,0,1635,862
488,AMD A6-4455M APU,2012,17,0,814,784
489,AMD Athlon II X2 B28,2012,65,49,1174,1293
