,Brand,Name,year,Memory,Memory_speed,Memory_bus,Memory_Type,Memory_bandwidth,power,openGl,process,L2Cache,DirectX,Resolution,price,G2DMark,G3DMark
143,Nvidia,Quadro FX 380,2009,6,700,0,4,22.4,34,11,40,0,7,13,72.5,279,111
144,Nvidia,Quadro FX 3800,2009,0,800,1,4,51.2,108,12,40,0,7,13,98.9,224,764
145,Nvidia,Quadro FX 4500,2005,5,575,1,4,36.8,109,7,90,0,5,13,230.3,265,205
146,Nvidia,Quadro FX 4600,2007,9,700,2,4,67.2,134,3,90,0,7,13,124.9,390,448
147,Nvidia,Quadro FX 4800,2011,16,800,2,4,76.8,150,12,65,0,7,13,138.9,300,933
148,Nvidia,Quadro FX 5500,2006,0,575,1,4,36.8,96,7,90,0,5,13,315.9,394,242
149,Nvidia,Quadro FX 560,2006,7,600,0,4,19.2,30,7,90,0,5,6,150.2,360,114
150,Nvidia,Quadro FX 5600,2007,16,800,2,4,76.8,171,3,90,0,7,13,168.9,403,613
151,Nvidia,Quadro FX 570,2007,6,400,0,5,12.8,38,3,80,0,7,13,74.9,401,115
152,Nvidia,Quadro FX 580,2009,5,800,0,4,25.6,40,11,40,0,7,13,68.8,262,170
153,Nvidia,Quadro FX 5800,2008,2,800,3,4,102.4,189,3,65,0,7,13,178.8,433,1128
154,Nvidia,Quadro FX 770M,2008,5,800,0,4,25.6,35,7,65,0,7,13,527.0,339,297
155,Nvidia,Quadro K1000M,2012,1,900,0,0,28.8,45,4,28,256,2,14,69.9,282,756
156,Nvidia,Quadro K1100M,2013,1,700,0,1,44.8,45,4,28,256,2,14,49.9,276,1108
157,Nvidia,Quadro K2000M,2012,1,900,0,0,28.8,55,4,28,256,2,14,144.0,291,1048
158,Nvidia,Quadro K2200,2014,2,1250,0,1,80.0,68,4,28,2048,2,1,123.1,513,3556
159,Nvidia,Quadro K3000M,2012,1,700,1,1,89.6,75,4,28,512,2,14,155.0,372,1685
160,Nvidia,Quadro K3100M,2013,2,800,1,1,102.4,75,4,28,512,2,14,399.9,282,2287
161,Nvidia,Quadro K4000M,2012,2,700,1,1,89.6,100,4,28,512,2,14,599.9,442,2146
162,Nvidia,Quadro K420,2014,0,900,0,0,28.8,41,4,28,256,2,0,188.3,258,742
163,Nvidia,Quadro K4200,2014,2,1350,1,1,172.8,108,4,28,512,2,3,239.9,478,4212
164,Nvidia,Quadro K5000,2012,2,1350,1,1,172.8,122,4,28,512,2,3,384.9,426,3978
165,Nvidia,Quadro K5000M,2012,2,750,1,1,96.0,100,4,28,512,2,3,389.2,647,2572
166,Nvidia,Quadro K5100M,2013,11,902,1,1,115.5,100,4,28,512,2,3,285.9,534,2934
167,Nvidia,Quadro K5200,2014,11,1000,2,1,192.0,150,4,28,1536,2,3,809.46,555,5688
168,Nvidia,Quadro K600,2013,0,905,0,0,29.0,41,4,28,256,2,0,34.9,271,751
169,Nvidia,Quadro K6000,2013,19,1502,2,1,288.4,225,4,28,1536,2,4,724.2,706,8338
170,Nvidia,Quadro K610M,2013,0,650,4,1,20.8,30,4,28,128,2,14,75.0,269,707
171,Nvidia,Quadro K620,2014,0,900,0,0,28.8,45,4,28,2048,2,0,138.8,467,2274
172,Nvidia,Quadro M4000,2015,11,1502,1,1,192.3,120,4,28,1792,9,8,279.0,634,6540
173,Nvidia,Quadro NVS 285,2006,7,275,0,3,4.4,18,7,110,0,5,18,27.9,334,35
174,Nvidia,Quadro NVS 285,2006,7,275,0,3,4.4,18,7,110,0,5,18,27.9,334,35
175,Nvidia,Quadro NVS 290,2007,6,400,4,5,6.4,21,3,80,0,6,5,45.0,401,91
176,Nvidia,Quadro NVS 295,2009,6,700,4,4,11.2,23,11,40,0,7,13,71.38,303,91
177,Nvidia,Quadro NVS 420,2009,5,700,4,4,11.2,40,11,40,0,7,13,335.2,534,99
178,Nvidia,Quadro NVS 450,2011,5,700,4,4,11.2,35,11,40,0,7,13,139.9,345,73
179,AMD,Radeon HD 3450,2007,6,500,4,5,8.0,25,9,55,0,4,6,44.9,103,74
180,AMD,Radeon HD 3870,2007,5,1126,1,8,72.1,106,3,55,0,4,11,279.9,227,587
181,AMD,Radeon HD 4350,2008,5,400,4,5,6.4,20,3,55,0,4,6,149.9,85,102
182,AMD,Radeon HD 4550,2008,6,800,4,4,12.8,25,3,55,0,4,5,126.9,429,236
183,AMD,Radeon HD 4650,2008,5,400,0,5,12.8,48,11,55,0,4,7,124.9,189,257
184,AMD,Radeon HD 4850,2008,5,993,1,4,63.6,110,3,55,0,4,11,42.6,231,877
185,AMD,Radeon HD 4870,2008,5,900,1,1,115.2,150,9,55,0,4,1,129.9,334,1245
186,AMD,Radeon HD 4890,2009,0,975,1,1,124.8,190,3,55,0,4,3,109.9,247,1535
187,AMD,Radeon HD 4870 X2,2009,1,900,3,1,230.4,420,9,55,0,4,3,98.6,433,231
188,AMD,Radeon HD 4870 X2,2009,1,900,3,1,230.4,420,9,55,0,4,3,98.6,433,231
189,AMD,Radeon HD 4870 X2,2009,1,900,3,1,230.4,420,9,55,0,4,3,98.6,433,231
190,AMD,Radeon HD 4870 X2,2009,1,900,3,1,230.4,420,9,55,0,4,3,98.6,433,231
191,AMD,Radeon HD 4870 X2,2009,1,900,3,1,230.4,420,9,55,0,4,3,98.6,433,231
192,AMD,Radeon HD 4870 X2,2009,1,900,3,1,230.4,420,9,55,0,4,3,98.6,433,231
