,name,year,TDP,Price,CPU_Mark,Thread_Mark
192,AMD Phenom II X3 B73,2010,95.0,75.0,1615,1117
193,AMD Phenom II X4 830,2010,95.0,69.9,1827,1078
194,AMD Athlon II X4 610e,2010,45.0,69.9,1814,1002
195,AMD Opteron 6172,2010,115.0,34.3,5261,712
196,AMD Opteron 6176 SE,2010,140.0,159.0,5483,780
197,AMD Phenom II N850 Triple-Core,2010,35.0,25.0,1213,843
198,AMD Phenom II X4 970,2010,125.0,74.8,2613,1385
199,AMD Phenom II X4 B97,2010,95.0,56.9,2465,1317
200,AMD Phenom II X6 1045T,2010,95.0,58.4,2970,1225
201,AMD Phenom II X6 1075T,2010,125.0,98.8,2924,1420
202,AMD Turion II P540 Dual-Core,2010,35.0,49.9,788,839
203,AMD Athlon II 170u,2010,20.0,17.9,356,689
204,AMD Athlon II P340 Dual-Core,2010,25.0,39.9,735,860
205,AMD Athlon II X3 415e,2010,45.0,75.0,1410,1005
206,AMD Athlon II X4 645,2010,95.0,34.95,2089,1216
207,AMD Phenom II N640 Dual-Core,2010,35.0,64.9,950,989
208,AMD Phenom II N950 Quad-Core,2010,35.0,112.6,1604,876
209,AMD Phenom II X2 560,2010,80.0,64.9,1295,1322
210,AMD Sempron 145,2010,45.0,29.86,434,932
211,AMD V140,2010,25.0,49.9,366,766
212,AMD Athlon II X2 265,2010,65.0,82.8,1174,1235
213,AMD Athlon II X2 270u,2010,25.0,67.6,665,754
214,AMD Athlon II X3 450,2010,95.0,28.01,1681,1273
215,AMD Phenom II X4 840T,2010,95.0,69.9,2406,1259
216,AMD Athlon 5200 Dual-Core,2010,75.0,19.93,722,840
217,AMD Athlon II X2 260u,2010,25.0,83.4,658,687
218,AMD Athlon II X3 455,2010,95.0,24.95,1775,1344
219,AMD Athlon II X4 615e,2010,45.0,59.0,1903,1054
220,AMD Opteron 4170 HE,2010,65.0,39.99,3665,732
221,AMD Phenom II X6 1100T,2010,125.0,169.95,3789,1501
222,AMD Phenom II N660 Dual-Core,2011,35.0,89.0,1047,1075
223,AMD Phenom II X2 565,2011,80.0,168.8,1414,1356
224,AMD Phenom II X4 975,2011,125.0,97.0,2509,1409
225,AMD Athlon II P360 Dual-Core,2011,25.0,19.95,746,900
226,AMD Phenom II P650 Dual-Core,2011,35.0,35.0,808,847
227,AMD Phenom II P960 Quad-Core,2011,35.0,28.0,1397,727
228,AMD Phenom II X4 840,2011,95.0,39.95,2191,1241
229,AMD Athlon II X2 245e,2011,45.0,83.4,992,1050
230,AMD Phenom II N970 Quad-Core,2011,35.0,149.9,1607,888
231,AMD Sempron 150,2011,45.0,14.95,490,1027
232,AMD A6-3400M APU,2011,35.0,29.9,1127,682
233,AMD A8-3850 APU,2011,100.0,49.95,2241,1225
234,AMD Athlon II X2 250e,2011,45.0,76.7,1030,1098
235,AMD Athlon II X3 420e,2011,45.0,116.1,1494,1075
236,AMD Phenom II X4 960T,2011,95.0,44.95,2397,1344
237,AMD A4-3300M APU,2011,65.0,29.9,613,693
238,AMD A6-3410MX APU,2011,45.0,3.9,1290,754
239,AMD A6-3650 APU,2011,100.0,23.89,2036,1100
240,AMD A8-3500M APU,2011,35.0,59.95,1255,729
241,AMD Opteron 2427,2011,75.0,16.99,3069,594
242,AMD Phenom II X4 850,2011,95.0,64.9,2327,1333
243,AMD Phenom II X4 980,2011,125.0,130.0,2730,1503
