,name,year,process,noCores,noThreads,baseFreq,CacheVal,maxMem,MemType,MemType_class,MemChannels,PCI_express,HyperTh,virtualTh,intel64,TDP,price,CPUMark,ThreadMark
1073,AMD Athlon 64 X2 Dual Core TK-53,2009,,,,,,,,,,,,,,,29.9,423,
1074,AMD Athlon 64 X2 QL-60,2009,,,,,,,,,,,,,,,0,404,
1075,AMD Athlon 64 X2 QL-64,2009,,,,,,,,,,,,,,,0,588,
1076,AMD Athlon Dual Core 4450B,2009,,,,,,,,,,,,,,,31,671,
1077,AMD Athlon LE-1600,2009,,,,,,,,,,,,,,,21,634,
1078,AMD Athlon LE-1620,2009,,,,,,,,,,,,,,,18,648,
1079,AMD Athlon X2 Dual Core BE-2350,2009,,,,,,,,,,,,,,,0,712,
1080,AMD Athlon X2 Dual Core BE-2400,2009,,,,,,,,,,,,,,,0,744,
1081,AMD Athlon XP 1500+,2009,,,,,,,,,,,,,,,0,257,
1082,AMD Athlon XP 1800+,2009,,,,,,,,,,,,,,,58.9,300,
1083,AMD Athlon XP 1900+,2009,,,,,,,,,,,,,,,0,313,
1084,AMD Athlon XP 3000+,2009,,,,,,,,,,,,,,,79.7,403,
1085,AMD Opteron 1212,2009,,,,,,,,,,,,,,,290,540,
1086,AMD Opteron 1352,2009,,,,,,,,,,,,,,,135.9,1510,
1087,AMD Opteron 1354,2009,,,,,,,,,,,,,,,135,1673,
1088,AMD Opteron 146,2009,,,,,,,,,,,,,,,59.9,532,
1089,AMD Opteron 150,2009,,,,,,,,,,,,,,,0,604,
1090,AMD Opteron 2218,2009,,,,,,,,,,,,,,,38.99,1594,
1091,AMD Opteron 2378,2009,,,,,,,,,,,,,,,14.11,1957,
1092,AMD Opteron 280,2009,,,,,,,,,,,,,,,25,1177,
1093,AMD Phenom 8400 Triple-Core,2009,,,,,,,,,,,,,,,0,1004,
1094,AMD Phenom 9600B Quad-Core,2009,,,,,,,,,,,,,,,147.1,1638,
1095,AMD Phenom II X4 910,2009,,,,,,,,,,,,,,,100,1921,
1096,AMD Phenom II X4 925,2009,,,,,,,,,,,,,,,29.9,2051,
1097,AMD Phenom II X4 955,2009,,,,,,,,,,,,,,,49.9,2420,
1098,AMD Phenom X2 Dual-Core GP-7730,2009,,,,,,,,,,,,,,,0,913,
1099,AMD Phenom X4 Quad-Core GP-9500,2009,,,,,,,,,,,,,,,0,1200,
1100,AMD Sempron 2300+,2009,,,,,,,,,,,,,,,45,318,
1101,AMD Sempron 2500+,2009,,,,,,,,,,,,,,,39.99,265,
1102,AMD Sempron 3100+,2009,,,,,,,,,,,,,,,79.95,458,
1103,AMD Sempron 3500+,2009,,,,,,,,,,,,,,,15,357,
1104,AMD Sempron 3600+,2009,,,,,,,,,,,,,,,15,559,
1105,AMD Sempron Dual Core 2100,2009,,,,,,,,,,,,,,,37.99,972,
1106,AMD Sempron LE-1100,2009,,,,,,,,,,,,,,,19.95,486,
1107,AMD Sempron LE-1150,2009,,,,,,,,,,,,,,,14.9,407,
1108,AMD Sempron LE-1200,2009,,,,,,,,,,,,,,,14.95,551,
1109,AMD Sempron SI-40,2009,,,,,,,,,,,,,,,12,198,
1110,AMD Sempron SI-42,2009,,,,,,,,,,,,,,,29.99,205,
1111,AMD Turion 64 Mobile MK-38,2009,,,,,,,,,,,,,,,0,520,
1112,AMD Turion 64 Mobile ML-28,2009,,,,,,,,,,,,,,,0,391,
1113,AMD Turion 64 Mobile ML-30,2009,,,,,,,,,,,,,,,0,426,
1114,AMD Turion 64 Mobile ML-37,2009,,,,,,,,,,,,,,,25.9,489,
1115,AMD Turion 64 Mobile ML-44,2009,,,,,,,,,,,,,,,0,591,
1116,AMD Turion 64 Mobile MT-30,2009,,,,,,,,,,,,,,,0,379,
1117,AMD Turion 64 Mobile MT-32,2009,,,,,,,,,,,,,,,0,440,
1118,AMD Turion 64 Mobile MT-34,2009,,,,,,,,,,,,,,,0,429,
1119,AMD Turion 64 Mobile MT-37,2009,,,,,,,,,,,,,,,0,485,
1120,AMD Turion 64 X2 Mobile TL-62,2009,,,,,,,,,,,,,,,311,1131,
1121,AMD Turion 64 X2 Mobile TL-64,2009,,,,,,,,,,,,,,,39.3,993,
1122,AMD Turion 64 X2 Mobile TL-68,2009,,,,,,,,,,,,,,,90,1319,
1123,AMD Turion X2 Dual-Core Mobile RM-70,2009,,,,,,,,,,,,,,,0,554,
1124,AMD Turion X2 Ultra Dual-Core Mobile ZM-80,2009,,,,,,,,,,,,,,,62,526,
1125,Athlon 64 Dual Core 5000+,2009,,,,,,,,,,,,,,,0,920,
1126,AMD Athlon 7450 Dual-Core,2009,,,,,,,,,,,,,,,0,803,
1127,AMD Athlon Dual Core 5200B,2009,,,,,,,,,,,,,,,0,824,
1128,AMD Athlon LE-1660,2009,,,,,,,,,,,,,,,0,641,
1129,AMD Athlon Neo MV-40,2009,,,,,,,,,,,,,,,0,440,
1130,AMD Athlon XP 2900+,2009,,,,,,,,,,,,,,,0,424,
1131,AMD Athlon XP 3100+,2009,,,,,,,,,,,,,,,0,434,
1132,AMD Opteron 2220,2009,,,,,,,,,,,,,,,238,1702,
1133,AMD Opteron 285,2009,,,,,,,,,,,,,,,27.9,1470,
1134,AMD Phenom 8600B Triple-Core,2009,,,,,,,,,,,,,,,14.9,1293,
1135,AMD Phenom II X4 805,2009,,,,,,,,,,,,,,,173.9,1800,
1136,AMD Phenom II X4 945,2009,,,,,,,,,,,,,,,34.79,2205,
1137,AMD Turion 64 X2 Mobile TL-66,2009,,,,,,,,,,,,,,,378,572,
1138,AMD Turion X2 Dual-Core Mobile RM-74,2009,,,,,,,,,,,,,,,24.4,476,
1139,AMD Turion X2 Ultra Dual-Core Mobile ZM-86,2009,,,,,,,,,,,,,,,49,569,
1140,AMD Turion X2 Ultra Dual-Core Mobile ZM-87,2009,,,,,,,,,,,,,,,39.9,530,
1141,AMD TurionX2 Dual Core Mobile RM-72,2009,,,,,,,,,,,,,,,0,362,
1142,Athlon Dual Core 4850e,2009,,,,,,,,,,,,,,,0,832,
1143,AMD Athlon 1640B,2009,,,,,,,,,,,,,,,50,633,
1144,AMD Athlon 64 X2 Dual Core BE-2350,2009,,,,,,,,,,,,,,,0,1045,
1145,AMD Athlon 7550 Dual-Core,2009,,,,,,,,,,,,,,,50,840,
1146,AMD Athlon 7850 Dual-Core,2009,,,,,,,,,,,,,,,49.99,943,
1147,AMD Athlon Dual Core 5000B,2009,,,,,,,,,,,,,,,95,839,
1148,AMD Athlon64 X2 Dual Core 4600+,2009,,,,,,,,,,,,,,,0,1108,
1149,AMD Opteron 1356,2009,,,,,,,,,,,,,,,89.9,1759,
1150,AMD Opteron 148,2009,,,,,,,,,,,,,,,0,604,
1151,AMD Phenom 8750B Triple-Core,2009,,,,,,,,,,,,,,,0,1227,
1152,AMD Phenom X3 8550,2009,,,,,,,,,,,,,,,169.9,1252,
1153,AMD Sempron Dual Core 2200,2009,,,,,,,,,,,,,,,0,609,
1154,AMD Sempron LE-1300,2009,,,,,,,,,,,,,,,13,615,
1155,AMD Turion 64 Mobile ML-42,2009,,,,,,,,,,,,,,,0,615,
1156,AMD Turion X2 Dual-Core Mobile RM-75,2009,,,,,,,,,,,,,,,0,456,
1157,AMD Athlon Dual Core 5400B,2009,,,,,,,,,,,,,,,0,894,
1158,AMD Athlon II X2 250,2009,,,,,,,,,,,,,,,16.95,1064,
1159,AMD Athlon TF-20,2009,,,,,,,,,,,,,,,0,412,
1160,AMD Athlon X2 250,2009,,,,,,,,,,,,,,,0,922,
1161,AMD Opteron 290,2009,,,,,,,,,,,,,,,135,1465,
1162,AMD Phenom II X2 550,2009,,,,,,,,,,,,,,,17.95,1201,
1163,AMD Phenom II X4 905e,2009,,,,,,,,,,,,,,,53.9,1781,
1164,AMD Phenom II X4 B50,2009,,,,,,,,,,,,,,,0,2243,
1165,AMD Turion Neo X2 Dual Core L625,2009,,,,,,,,,,,,,,,0,466,
1166,AMD Athlon 64 X2 Dual-Core TK-42,2009,,,,,,,,,,,,,,,0,884,
1167,AMD Athlon II X2 245,2009,,,,,,,,,,,,,,,13.47,1001,
1168,AMD Athlon L110,2009,,,,,,,,,,,,,,,0,303,
1169,AMD Opteron 152,2009,,,,,,,,,,,,,,,0,659,
1170,AMD Opteron 2384,2009,,,,,,,,,,,,,,,840,2178,
1171,AMD Phenom II X3 705e,2009,,,,,,,,,,,,,,,152.3,1284,
1172,AMD Phenom X4 Quad-Core GP-9600,2009,,,,,,,,,,,,,,,0,1526,
1173,AMD Sempron 210U,2009,,,,,,,,,,,,,,,0,411,
1174,AMD Turion X2 Dual-Core Mobile RM-77,2009,,,,,,,,,,,,,,,0,488,
1175,AMD Athlon II X2 240,2009,,,,,,,,,,,,,,,14.95,906,
1176,AMD Athlon II X3 425,2009,,,,,,,,,,,,,,,26.9,1546,
1177,AMD Athlon II X4 630,2009,,,,,,,,,,,,,,,19.89,2052,
1178,AMD Athlon Neo X2 Dual Core L335,2009,,,,,,,,,,,,,,,0,527,
