,name,size,latency,readRate,writeRate,Price,RAMmark
460,Mushkin MB[A/B]4U240FFFF16G 16GB,16,29.0,14.4,10.7,239.9,717.1435698432999
461,Mushkin MES4S213FF16G28 16GB,16,26.0,13.9,11.6,58.9,799.425655710954
462,Mushkin MR[A/B]4U266GHHF8G 8GB,8,22.0,17.8,13.3,281.3,944.8959169039182
463,Mushkin MR[A/B]4U300JJJM16G 16GB,16,22.0,18.4,14.3,214.9,945.2809172281183
464,Nanya Technology M471A5143EB1-CRC 4GB,4,79.0,14.7,7.9,31.0,265.9908062324569
465,Patriot Memory (PDP Systems) PSD44G213381 4GB,4,24.0,15.6,11.7,58.4,865.8929505437833
466,Patriot Memory (PDP Systems) PSD44G240041 4GB,4,68.0,15.6,7.0,39.8,308.15085283728814
467,Patriot Memory (PDP Systems) PSD44G240081 4GB,4,23.0,15.9,11.7,75.8,903.3320895913
468,Patriot Memory (PDP Systems) PSD44G240082 4GB,4,26.0,15.3,10.8,18.9,799.4402194257539
469,Patriot Memory (PDP Systems) PSD48G21332 8GB,8,27.0,13.3,9.8,64.9,769.416163350785
470,Patriot Memory (PDP Systems) PSD48G24002 8GB,8,24.0,15.8,11.4,59.9,865.8426495476832
471,Patriot Memory (PDP Systems) PSD48G213381 8GB,8,24.0,14.3,8.4,108.3,864.7391215496832
472,Patriot Memory (PDP Systems) PSD48G213382 8GB,8,25.0,16.9,12.2,105.2,831.8603745007999
473,Patriot Memory (PDP Systems) PSD48G240081 8GB,8,31.5,14.4,9.4,35.9,660.2963527073872
474,Patriot Memory (PDP Systems) PSD48G240082 8GB,8,23.0,17.0,11.5,109.9,903.4644129564998
475,Patriot Memory (PDP Systems) PSD48G266681 8GB,8,28.0,17.5,13.2,34.9,743.7968390867857
476,Patriot Memory (PDP Systems) PSD416G21332 16GB,16,27.0,14.4,9.6,239.9,769.5484867159851
477,Patriot Memory (PDP Systems) PSD416G24002 16GB,16,24.0,16.0,10.7,179.9,865.6795268015833
478,Patriot Memory (PDP Systems) PSD416G26662 16GB,16,24.0,15.6,11.2,59.9,865.7519233562832
479,Samsung M378A1G43DB0-CPB 8GB,8,35.30769231,15.3,11.1,99.0,590.2742078852143
480,Samsung M378A1K43BB1-CPB 8GB,8,34.1,15.5,10.9,42.0,610.9535268419311
481,Samsung M378A1K43CB2-CTD 8GB,8,29.84848485,17.2,12.8,36.9,697.9865148852006
482,Samsung M378A1K43DB2-CTD 8GB,8,32.52941176,16.5,11.8,57.9,640.60022896942
483,Samsung M378A2K43BB1-CPB 16GB,16,34.6,14.5,8.6,109.0,601.38727581689
484,Samsung M378A2K43BB1-CRC 16GB,16,27.0,15.4,10.7,115.0,770.030323110485
485,Samsung M378A2K43CB1-CTD 16GB,16,30.79310345,17.1,11.6,68.4,676.4205254217288
486,Samsung M378A2K43DB1-CTD 16GB,16,35.83333333,14.4,11.0,94.9,581.5172546035622
