name,DDR3_4,size,totalSize,latency,readRate,writeRate,Price,RAMmark
Hynix Semiconductor (Hyundai Electronics) HMA41GS6AFR8N-TF,1,8,8,28,13.8,10.4,35.99,742.3722535
Kingston KHX1600C10D3/8GX,0,8,8,43.32,13.7,8.7,46.19,481.2124056
Kingston KHX2666C15D4/8G,1,8,8,31.71428571,16.5,12.1,35.99,656.9913568
G Skill Intl F3-1600C9-8GXM,0,8,8,40.4,13.7,8.5,48.99,515.5894394
Kingston KHX2400C11D3/4GX,0,4,4,35.48148148,15.9,10.7,15.99,587.4013471
Hynix Semiconductor (Hyundai Electronics) HMT41GS6AFR8A-PB,0,8,8,31,11.3,8,67.99,669.9369172
Kingston KHX2400C15/8G,1,8,8,29.89393939,16.8,11.9,35.99,696.6127048
Kingston KHX2133C14/8G,1,8,8,32.7804878,15.2,10.2,35.99,635.06651
SK Hynix HMA41GS6AFR8N-TF,1,8,8,37.88235294,13.9,9.9,35.83,549.9689585
G Skill Intl F4-3200C16-16GVK ,1,16,16,28.87931034,18.3,14.2,59.99,721.7739891
G Skill Intl F3-2400C10-4GTX,0,4,4,33.29411765,16.9,11.4,25.99,625.9840719
Kingston KHX1600C9D3/8GX,0,8,8,39.5483871,14.3,9.2,45.63,526.8899966
G Skill Intl F4-3200C16-8GTZB,1,8,8,33.33333333,16.3,12.2,42.35,625.3775119
Kingston KHX2133C14D4/4G,1,4,4,31.72413793,16.4,11.6,23.99,656.6310764
Kingston KHX2400C15D4/8G,1,8,8,30.57894737,17.4,12.9,36.99,681.5324396
SK Hynix HMA81GS6CJR8N-VK,1,8,8,33.90909091,15.9,11.2,35.95,614.5141769
G Skill Intl F3-14900CL9-4GBSR,0,4,4,35.72727273,15.5,10.1,21.99,583.1618971
Kingston MSI24D4S7S8MB-8,1,8,8,34.54545455,14.5,10.4,37.59,602.8367743
G Skill Intl F3-17000CL11-4GBXL,0,4,4,33.08333333,16.5,11.1,25.99,629.7802053
SK Hynix HMT41GS6BFR8A-PB,0,8,8,45.72727273,12,8.2,30.99,455.6996145
Kingston KHX3000C15D4/8GX,1,8,8,29.6,17.7,13.5,46.54,704.074088
G Skill Intl F4-3000C16-8GTZR,1,8,8,27.8,18.6,14.3,42.5,749.5985031
Kingston KHX2133C11D3/8GX,0,8,8,37.23529412,15.1,10.3,41.99,559.7548265
A-DATA Technology DDR4 2400 2OZ,1,8,8,31.68,16.4,12.3,35.99,657.7348821
SK Hynix HMA82GS6AFR8N-UH ,1,16,16,36.74358974,14.1,9.2,67,566.6901072
Micron Technology 16KTF1G64HZ-1G6E1,0,8,8,43.6,11.8,7.8,50,477.5730606
Kingston KHX2666C16/8G,1,8,8,29.90243902,17.4,12.9,36.99,696.8014696
Kingston KHX3200C16D4/8GX,1,8,8,26.90540541,19.1,15.1,24.95,774.593584
Samsung M378B5173DB0-CK0,0,4,4,41.21052632,13.7,8,18.99,505.4012126
Samsung M378B5173DB0-CK0,0,4,4,41.21052632,13.7,8,27.22,505.4012126
A-DATA Technology DDR4 3000 8GB,1,8,8,28.78787879,18.2,14.3,389.9,724.0547294
Corsair CMD8GX4M2B3000C15 4GB,1,4,8,21,18.5,14.2,291,989.9408471
Corsair CMD8GX4M2B3200C16 4GB,1,4,8,20,19.3,15.4,79.9,1039.554649
Corsair CMD8GX4M2B3600C18 4GB,1,4,8,22,18.1,14.4,179.9,945.2576497
Corsair CMD8GX4M2B3866C18 4GB,1,4,8,18,21.2,17.7,257.2,1155.184879
Corsair CMD8GX4M2B4000C19 4GB,1,4,8,18,21.4,18.5,415.6,1155.444838
Corsair CMD16GX4M2A2666C15 8GB,1,8,16,24,16.2,11.9,115.9,866.0523074
Corsair CMD16GX4M2B2400C10 8GB,1,8,16,22,17.6,12.4,192.9,944.6077527
Corsair CMD16GX4M2B3000C15 8GB,1,8,16,28.61111111,18.4,13.8,225,728.3772238
Corsair CMD16GX4M2B3200C14 8GB,1,8,16,23,17,12.5,219.9,903.7464673
Corsair CMD16GX4M2B3200C16 8GB,1,8,16,28.5,18.3,13.7,129.9,731.1440551
Corsair CMD16GX4M2B3466C16 8GB,1,8,16,18,20.8,16.6,351.5,1154.805988
Corsair CMD16GX4M2B3600C18 8GB,1,8,16,18,20.9,16.6,239.9,1154.823146
Corsair CMD16GX4M2B3733C17 8GB,1,8,16,24,17.2,12.4,259.9,866.3649111
Corsair CMD16GX4M2B3866C18 8GB,1,8,16,20,19.2,14.8,259.9,1039.368259
Corsair CMD16GX4M2C3333C16 8GB,1,8,16,22,17.7,13.8,169.9,945.0197864
Corsair CMD16GX4M2E4000C19 8GB,1,8,16,20,19.4,15.2,279.9,1039.515396
Corsair CMD16GX4M4A2666C15 4GB,1,4,16,38.8,13.9,11.1,371.9,537.4227199
Corsair CMD16GX4M4A2666C16 4GB,1,4,16,27,14.1,11.2,399.9,769.9483007
Corsair CMD16GX4M4A2800C16 4GB,1,4,16,39.33333333,12.6,9.8,253.1,529.6207014
Corsair CMD16GX4M4B2133C10 4GB,1,4,16,24,15.8,11.7,204.6,865.9272659
Corsair CMD16GX4M4B2400C10 4GB,1,4,16,25,13.7,10.2,145.9,830.7472207
Corsair CMD16GX4M4B3000C14 4GB,1,4,16,25,15.8,13.1,452.4,831.9254892
Corsair CMD16GX4M4B3000C15 4GB,1,4,16,32,15.9,11.5,445,650.9089327
Corsair CMD16GX4M4B3200C14 4GB,1,4,16,28,13,9.2,199.9,741.896527
Corsair CMD16GX4M4B3200C15 4GB,1,4,16,22,17.7,14.1,297.4,945.1044027
Corsair CMD16GX4M4B3200C16 4GB,1,4,16,25,15,12,259.9,831.4779681
Corsair CMD16GX4M4B3300C16 4GB,1,4,16,23,16.5,13.1,270.7,903.8299117
Corsair CMD16GX4M4B3400C16 4GB,1,4,16,22,17,13.1,249.9,944.7022448
Corsair CMD16GX4M4B3600C18 4GB,1,4,16,23,16.4,13.5,583.8,903.9255758
Corsair CMD16GX4M4C3200C15 4GB,1,4,16,25,14.3,12,194.9,831.3578645
Corsair CMD16GX4M4C3200C16 4GB,1,4,16,21,18.6,14.6,429.9,990.0708265
Corsair CMD32GX4M2A2666C15 16GB,1,16,32,27.66666667,17.8,13.1,440.1,752.7004816
Corsair CMD32GX4M2A2800C16 16GB,1,16,32,26,15.7,10.7,229.9,799.4806446
Corsair CMD32GX4M2B2800C14 16GB,1,16,32,24,16.6,13.8,259.9,866.6568413
Corsair CMD32GX4M2B3000C15 16GB,1,16,32,26.57142857,19.1,14.7,196.9,784.1219234
Corsair CMD32GX4M2B3466C16 16GB,1,16,32,20,19.7,13.3,699.9,1039.030965
Corsair CMD32GX4M2C3200C16 16GB,1,16,32,27.33333333,19.1,14.3,209.9,762.3589662
Corsair CMD32GX4M4A2400C12 8GB,1,8,32,22,17.7,13.1,259.9,944.8223484
Corsair CMD32GX4M4A2400C14 8GB,1,8,32,27,14,10.9,917.9,769.8465268
Corsair CMD32GX4M4A2666C15 8GB,1,8,32,26,14.9,11.8,219.9,799.6536432
Corsair CMD32GX4M4A2666C16 8GB,1,8,32,28,14.3,11.6,671.2,742.796507
Corsair CMD32GX4M4A2800C16 8GB,1,8,32,26,14.7,11.8,439.9,799.6193279
Corsair CMD32GX4M4B2400C10 8GB,1,8,32,24,15.5,11.3,639.9,865.7629711
Corsair CMD32GX4M4B3000C15 8GB,1,8,32,27,15,12,249.9,770.3283632
Corsair CMD32GX4M4B3200C16 8GB,1,8,32,27.66666667,17.6,13.1,379.9,752.6661663
Corsair CMD32GX4M4B3333C16 8GB,1,8,32,24,16.3,12.5,799.9,866.2386977
Corsair CMD32GX4M4B3466C16 8GB,1,8,32,22,15.7,17.2,644.5,945.6356181
Corsair CMD32GX4M4B3600C16 8GB,1,8,32,20,18.7,15,897.6,1039.338881
Corsair CMD32GX4M4C3000C15 8GB,1,8,32,37.66666667,13.9,11.8,699.9,553.6244394
Corsair CMD32GX4M4C3200C16 8GB,1,8,32,26,18.5,14.8,289.9,801.117482
Corsair CMD32GX4M4C3200C16-R 8GB,1,8,32,25,18.7,14.7,369.9,832.8743483
Corsair CMD64GX4M4A2400C14 16GB,1,16,64,26,15.3,11.2,489.9,799.5530412
Corsair CMD64GX4M4A2666C15 16GB,1,16,64,25,15.8,11.9,369.9,831.5870239
Corsair CMD64GX4M4B2800C14 16GB,1,16,64,25,15,11.6,479.9,831.3651464
Corsair CMD64GX4M4B3000C15 16GB,1,16,64,24,16.5,12.4,459.9,866.2448075
Corsair CMD64GX4M4B3333C16 16GB,1,16,64,26,15,11.4,958,799.5579791
Corsair CMD64GX4M4B3466C16 16GB,1,16,64,23,16.9,12.7,849.9,903.7857205
Corsair CMD64GX4M4C3000C15 16GB,1,16,64,23,17.8,13.5,417.8,904.165783
Corsair CMD64GX4M4C3200C16 16GB,1,16,64,25,16.6,13.8,429.9,832.2601885
Corsair CMD64GX4M8A2400C14 8GB,1,8,64,28,12.9,10.6,894.8,742.2742454
Corsair CMD64GX4M8A2666C15 8GB,1,8,64,28,13.4,10.9,728.9,742.44465
Corsair CMD64GX4M8B2800C14 8GB,1,8,64,26,14.4,11,699.8,799.3422114
Corsair CMD64GX4M8B3200C16 8GB,1,8,64,26,14.8,11,549.9,799.410842
Corsair CMD64GX4M8X4000C19 8GB,1,8,64,27,12.2,15.9,899.9,770.9479608
Corsair CMD128GX4M8A2400C14 16GB,1,16,12,32,12.1,9.1,999.9,649.5800112
Corsair CMD128GX4M8A2666C15 16GB,1,16,12,26,14.1,9.9,879.9,798.9804786
Corsair CMD128GX4M8B2800C14 16GB,1,16,12,27,14.8,10.6,969.9,769.8991717
Corsair CMD128GX4M8B3000C16 16GB,1,16,12,26,14.8,10.2,977.7,799.1851985
Corsair CMD128GX4M8B3200C16 16GB,1,16,12,31,12.2,12.1,999.9,671.2477591
Corsair CMK4GX4M1A2400C14 4GB,1,4,4,29,16.5,11.9,26.9,717.8423459
Corsair CMK4GX4M1A2400C16 4GB,1,4,4,24,15.7,11.1,26.9,865.7408756
Corsair CMK4GX4M1D2400C14 4GB,1,4,4,72,15.4,7.8,69.9,291.4810767
Corsair CMK8GX4M1A2400C14 8GB,1,8,8,33.44444444,15,10.4,36.9,622.5898218
Corsair CMK8GX4M1A2400C16 8GB,1,8,8,30.53333333,15.9,11,37.9,681.7474237
Corsair CMK8GX4M1A2666C16 8GB,1,8,8,29.53333333,17.3,12.2,37.9,705.2126681
Corsair CMK8GX4M1D3000C16 8GB,1,8,8,28.46153846,17.2,12.3,37.9,731.5390124
Corsair CMK8GX4M2A2133C13 4GB,1,4,8,30.85714286,16.5,12.3,43.9,675.1240865
Corsair CMK8GX4M2A2400C14 4GB,1,4,8,23,16.4,11.8,68.3,903.4460833
Corsair CMK8GX4M2A2400C16 4GB,1,4,8,30.5,16,11.8,44.9,682.7289316
Corsair CMK8GX4M2A2666C16 4GB,1,4,8,31.77777778,16.5,12.3,48.9,655.7475728
Corsair CMK8GX4M2A2800C16 4GB,1,4,8,22,17.4,13.1,68.9,944.7708754
Corsair CMK8GX4M2B3000C15 4GB,1,4,8,30.28571429,17.5,12.9,237.7,688.0842128
Corsair CMK8GX4M2B3200C16 4GB,1,4,8,24.33333333,19.3,14.3,199.9,855.4814498
Corsair CMK8GX4M2B3600C18 4GB,1,4,8,19,20,15.6,167.3,1094.041668
Corsair CMK8GX4M2B3733C17 4GB,1,4,8,21,19.4,14.6,226.1,990.2080878
Corsair CMK8GX4M2B3866C18 4GB,1,4,8,28,15.8,13.4,107.9,743.5615698
Corsair CMK8GX4M2B4000C19 4GB,1,4,8,21,18.1,13.4,140.3,989.646573
Corsair CMK8GX4M2B4200C19 4GB,1,4,8,44,14.7,10.1,438.3,474.4161902
Corsair CMK8GX4M2C3000C16 4GB,1,4,8,22,17.5,13.9,96.9,945.0136766
Corsair CMK8GX4M2D2666C16 4GB,1,4,8,23,17.4,12.8,119.9,903.8997143
Corsair CMK16GX4M1A2400C14 16GB,1,16,16,32.33333333,15.2,10.4,72.9,643.8297318
Corsair CMK16GX4M1A2400C16 16GB,1,16,16,33.5,14.9,9.2,71.9,621.2108442
Corsair CMK16GX4M1A2666C16 16GB,1,16,16,23,16.2,10,73.9,902.9040701
Corsair CMK16GX4M1B3000C15 16GB,1,16,16,33,14.6,8.1,81.9,630.1833456
Corsair CMK16GX4M1C3000C16 16GB,1,16,16,21,18.4,9.8,383.9,988.6826502
Corsair CMK16GX4M1D3000C16 16GB,1,16,16,30.71428571,16.2,10.6,79.9,677.7039297
Corsair CMK16GX4M2A2133C13 8GB,1,8,16,34.59259259,15.9,11.6,67.9,602.6013708
Corsair CMK16GX4M2A2400C14 8GB,1,8,16,32.83018868,16.5,11.9,69.9,634.8159426
Corsair CMK16GX4M2A2400C16 8GB,1,8,16,30.79487179,16.7,11.9,67.9,676.3980252
Corsair CMK16GX4M2A2666C16 8GB,1,8,16,30.89189189,17.1,12.7,69.9,674.5875216
Corsair CMK16GX4M2A2800C16 8GB,1,8,16,27.5,18.4,13.6,122.9,757.4653731
Corsair CMK16GX4M2B2800C14 8GB,1,8,16,22,18.4,13.7,126.9,945.1116846
Corsair CMK16GX4M2B3000C15 8GB,1,8,16,28.97037037,18.1,13.6,87.9,719.3242104
Corsair CMK16GX4M2B3200C14 8GB,1,8,16,22,18.2,13.9,174.9,945.1337802
Corsair CMK16GX4M2B3200C16 8GB,1,8,16,28.95918367,18.3,13.9,89.9,719.7183298
Corsair CMK16GX4M2B3333C16 8GB,1,8,16,27,18.4,14.2,521.4,771.5322432
Corsair CMK16GX4M2B3466C16 8GB,1,8,16,20,18.9,13.8,189.9,1039.034731
Corsair CMK16GX4M2B3600C18 8GB,1,8,16,27.5,18.3,13.8,178.2,757.5046263
Corsair CMK16GX4M2B3733C17 8GB,1,8,16,18,19,15,199.9,1154.045864
Corsair CMK16GX4M2C3000C16 8GB,1,8,16,28.33333333,16.8,11.6,200.9,734.5540235
Corsair CMK16GX4M2C3333C16 8GB,1,8,16,22.66666667,20.9,16.8,93.9,918.8240965
Corsair CMK16GX4M2D3000C16 8GB,1,8,16,29.64,17.7,13.5,78.9,703.1331575
Corsair CMK16GX4M2D3200C16 8GB,1,8,16,26.14285714,18.8,14.4,131.8,796.7185983
Corsair CMK16GX4M2E4000C19 8GB,1,8,16,29,12.7,11.2,249.9,716.9929168
Corsair CMK16GX4M2E4333C19 8GB,1,8,16,25,16.5,12.3,530.2,831.8199493
Corsair CMK16GX4M2F4500C19 8GB,1,8,16,16,22.2,17.7,898.1,1298.675842
Corsair CMK16GX4M2K4133C19 8GB,1,8,16,27.33333333,17.2,12,226.9,761.3842456
Corsair CMK16GX4M2K4266C19 8GB,1,8,16,17,20.9,18.1,269.9,1222.690645
Corsair CMK16GX4M2K4400C19 8GB,1,8,16,21,18,14.6,692.6,989.9678806
Corsair CMK16GX4M2L3000C15 8GB,1,8,16,24.28571429,19.7,15,199.9,857.4105312
Corsair CMK16GX4M2Z2666C16 8GB,1,8,16,28.75,16.9,12.8,119.8,724.3531288
Corsair CMK16GX4M2Z2933C16 8GB,1,8,16,20,19.6,14.8,201.4,1039.436889
Corsair CMK16GX4M2Z3466C16 8GB,1,8,16,40,19.2,10.7,132.9,522.262044
Corsair CMK16GX4M2Z3600C18 8GB,1,8,16,26,18.6,14.7,317.2,801.1064342
Corsair CMK16GX4M4A2133C13 4GB,1,4,16,35,14.6,10.8,94.9,595.2081103
Corsair CMK16GX4M4A2133C15 4GB,1,4,16,28,13.4,10.4,132.9,742.3036229
Corsair CMK16GX4M4A2400C14 4GB,1,4,16,37.55555556,14,10.8,252,554.980582
Corsair CMK16GX4M4A2400C16 4GB,1,4,16,27,14.8,10.9,210,769.983788
Corsair CMK16GX4M4A2666C15 4GB,1,4,16,35,14.5,10.7,176,595.1627472
Corsair CMK16GX4M4A2666C16 4GB,1,4,16,35.88888889,14.8,11.5,139.9,580.8353582
Corsair CMK16GX4M4A2800C16 4GB,1,4,16,37.8,14.1,11.3,204.9,551.5850599
Corsair CMK16GX4M4B3000C15 4GB,1,4,16,30.125,17.4,13.5,359.9,691.8717283
Corsair CMK16GX4M4B3200C15 4GB,1,4,16,22,17.6,13.7,169.9,944.9744233
Corsair CMK16GX4M4B3200C16 4GB,1,4,16,25,15.7,12.4,119.9,831.7108935
Corsair CMK16GX4M4B3300C16 4GB,1,4,16,23,17.3,13.3,159.9,904.0235838
Corsair CMK16GX4M4B3400C16 4GB,1,4,16,22,17.9,14.5,199.9,945.2515398
Corsair CMK16GX4M4B3600C18 4GB,1,4,16,26,16,12.2,159.9,799.9551992
Corsair CMK16GX4M4B3733C17 4GB,1,4,16,19,20.3,16.7,209.9,1094.403401
Corsair CMK16GX4M4C3000C16 4GB,1,4,16,29,12.3,13.2,96.9,717.488395
Corsair CMK16GX4M4C3200C15 4GB,1,4,16,24,15.2,11.5,104.9,865.767909
Corsair CMK16GX4M4C3200C16 4GB,1,4,16,35.5,15.9,11.5,399.9,587.3235711
Corsair CMK32GX4M2A2133C13 16GB,1,16,32,31.66666667,16.3,12.2,179.9,657.9638144
Corsair CMK32GX4M2A2400C14 16GB,1,16,32,34.42857143,16,11.7,158.2,605.489003
Corsair CMK32GX4M2A2400C16 16GB,1,16,32,29.58333333,17.2,13.1,137.9,704.2682833
Corsair CMK32GX4M2A2666C16 16GB,1,16,32,31.8490566,17.2,12.9,129.9,654.5834331
Corsair CMK32GX4M2A2800C16 16GB,1,16,32,25,16.2,12,289.2,831.68386
Corsair CMK32GX4M2B3000C15 16GB,1,16,32,31.8,17.7,13.8,169.9,655.9227047
Corsair CMK32GX4M2B3200C16 16GB,1,16,32,27.93814433,18.8,14.7,179.9,746.074862
Corsair CMK32GX4M2B3333C16 16GB,1,16,32,19,20.7,16.6,349.9,1094.443826
Corsair CMK32GX4M2B3466C16 16GB,1,16,32,20,20.2,15.8,764,1039.82189
Corsair CMK32GX4M2C3333C16 16GB,1,16,32,23.16666667,20.4,16.9,189.9,899.1154425
Corsair CMK32GX4M2D3000C16 16GB,1,16,32,29.5,17.7,14.1,219.1,706.6068102
Corsair CMK32GX4M2D3200C16 16GB,1,16,32,27.36363636,18.6,13.8,413.2,761.2959951
Corsair CMK32GX4M2F4000C19 16GB,1,16,32,26.25,17.4,13,655.3,792.861346
Corsair CMK32GX4M2K4133C19 16GB,1,16,32,22,18.9,13.4,849.9,945.1128566
Corsair CMK32GX4M2L3000C15 16GB,1,16,32,21,18.5,14.3,744.2,989.9690525
Corsair CMK32GX4M2L3200C16 16GB,1,16,32,24,19.5,16.1,456.8,867.8031385
Corsair CMK32GX4M4A2133C13 8GB,1,8,32,34.875,15.4,11.6,179.9,597.6844806
Corsair CMK32GX4M4A2133C15 8GB,1,8,32,27,14.6,11.1,241.9,770.0058836
Corsair CMK32GX4M4A2400C12 8GB,1,8,32,26,14.8,10.9,189.9,799.3826366
Corsair CMK32GX4M4A2400C14 8GB,1,8,32,40,14.8,11.3,399.9,521.6763397
Corsair CMK32GX4M4A2400C16 8GB,1,8,32,26,15,11.3,272.7,799.5297736
Corsair CMK32GX4M4A2666C15 8GB,1,8,32,31.25,17,12,152.9,666.7171879
Corsair CMK32GX4M4A2666C16 8GB,1,8,32,36.28571429,15.1,11.8,144.9,574.682598
Corsair CMK32GX4M4A2800C16 8GB,1,8,32,27,14.4,11.4,249.9,770.0561846
Corsair CMK32GX4M4B2800C14 8GB,1,8,32,25,15.6,11.8,224.9,831.5245032
Corsair CMK32GX4M4B3000C15 8GB,1,8,32,26,14.9,11.9,194.9,799.6818486
Corsair CMK32GX4M4B3200C14 8GB,1,8,32,20,19,14.5,284.9,1039.249327
Corsair CMK32GX4M4B3200C16 8GB,1,8,32,32.23076923,16.5,12.9,169.9,646.7890657
Corsair CMK32GX4M4B3333C16 8GB,1,8,32,25,14.7,11.1,349.9,831.1726462
Corsair CMK32GX4M4B3466C16 8GB,1,8,32,21,18.1,14.4,389.9,989.9286273
Corsair CMK32GX4M4B3600C18 8GB,1,8,32,34.66666667,15.7,12.9,289.9,601.6589366
Corsair CMK32GX4M4B3733C17 8GB,1,8,32,20,19.8,14.6,668.2,1039.414794
Corsair CMK32GX4M4B3866C18 8GB,1,8,32,20,19.9,15.2,883.1,1039.601184
Corsair CMK32GX4M4C3000C15 8GB,1,8,32,34.09090909,16.2,12.6,169.9,611.7145148
Corsair CMK32GX4M4C3333C16 8GB,1,8,32,25,14.6,12,340.2,831.4093375
Corsair CMK32GX4M4C3400C16 8GB,1,8,32,25,16,12.3,319.9,831.734161
Corsair CMK32GX4M4D3000C16 8GB,1,8,32,23,17.5,13.9,152.9,904.2271317
Corsair CMK32GX4M4E4133C19 8GB,1,8,32,22,19.1,14.7,499.9,945.5138426
Corsair CMK32GX4M4K4133C19 8GB,1,8,32,21,18.9,14.9,519.9,990.2069158
Corsair CMK32GX4M4Z2933C16 8GB,1,8,32,67,15.6,10.2,167.9,313.5832758
Corsair CMK32GX4M4Z3200C16 8GB,1,8,32,21,18.1,14.7,346.5,990.0132436
Corsair CMK64GX4M4A2133C13 16GB,1,16,64,34.25,14.6,11.9,289.9,608.4305651
Corsair CMK64GX4M4A2400C14 16GB,1,16,64,27,14.7,11.2,449.9,770.0512467
Corsair CMK64GX4M4A2400C16 16GB,1,16,64,28,14.3,10.4,454.9,742.4580418
Corsair CMK64GX4M4A2666C16 16GB,1,16,64,32.38461538,17.4,13,399.9,643.9297921
Corsair CMK64GX4M4B2800C14 16GB,1,16,64,27,14.8,11.1,464.9,770.0401989
Corsair CMK64GX4M4B3000C15 16GB,1,16,64,27,14.4,11.7,359.9,770.1408009
Corsair CMK64GX4M4B3200C16 16GB,1,16,64,30.44444444,17.9,13.7,349.9,684.8256033
Corsair CMK64GX4M4B3333C16 16GB,1,16,64,33.33333333,15.6,12.8,673.6,625.4266409
Corsair CMK64GX4M4B3466C16 16GB,1,16,64,21,18.8,14.8,579.9,990.1615527
