ADATA SP 920SS,119.2 GB,"2,102",12,4065,NA,NA,14-Sep,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP+920SS&id=8129#price
ADATA SP310,119.2 GB,"2,214",31,3957,NA,NA,15-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP310&id=19631#price
ADATA SP310,59.6 GB,"1,698",23,4350,$126.00*,13.48,14-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP310&id=6893#price
ADATA SP310,238.5 GB,"2,546",9,3585,NA,NA,16-Sep,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP310&id=20828#price
ADATA SP580,223.6 GB,"2,827",26,3213,NA,NA,17-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP580&id=21099#price
ADATA SP580,111.8 GB,"2,388",95,3775,$64.99*,36.74,16-Aug,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP580&id=12566#price
ADATA SP610,476.9 GB,"4,094",24,1302,NA,NA,14-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP610&id=19325#price
ADATA SP610,238.5 GB,"3,173",147,2680,$178.15*,17.81,14-Jul,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP610&id=7692#price
ADATA SP610,119.2 GB,"2,294",48,3880,NA,NA,14-Aug,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP610&id=19203#price
ADATA SP610,953.9 GB,"3,888",12,1544,NA,NA,14-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP610&id=19492#price
ADATA SP910SS,119.2 GB,"1,740",8,4320,NA,NA,15-Aug,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP910SS&id=19896#price
ADATA SP920SS,119.2 GB,"1,871",7,4219,NA,NA,14-Apr,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP920SS&id=7238#price
